Disaster Subgroup,Disaster Type,Disaster Subtype,Magnitude,Region,Subregion,Country,Location,Start Year,Start Month,End Year,End Month,Total Deaths,Total Affected
Biological,Epidemic,Bacterial disease,,Africa,Northern Africa,Sudan,"Gazira, Gadaref, Blue Nile, Kassala, Khartoum, North Kordofan, Northern, Read Sea, River Nile, Sennar, South Kordofan, White Nile",2024,8.0,2025,3.0,1508.0,57447.0
Biological,Epidemic,Bacterial disease,,Africa,Sub-Saharan Africa,Angola,"Cacuaco (Luanda province); Bengo; Icolo e Bengo, Cuanza Norte, Cuanza Sul, Uige, Zaire",2024,12.0,2025,4.0,329.0,8543.0
Biological,Epidemic,Bacterial disease,,Africa,Sub-Saharan Africa,Cameroon,"Far North, South-West, and North-West, and Littoral regions",2022,8.0,2022,12.0,295.0,13730.0
Biological,Epidemic,Bacterial disease,,Africa,Sub-Saharan Africa,Congo,"Bouenza, Kouilou, Niari, Pointe-Noire, Dolisie, Bazzaville",2023,7.0,2023,8.0,52.0,85992.0
Biological,Epidemic,Bacterial disease,,Africa,Sub-Saharan Africa,Ethiopia,"Harana Buluk and Berbere ( Bale Zone, Oromia Region), Somali, SNNP, Sidama, Amhara; Benishangul Gumuz region",2022,9.0,2023,8.0,271.0,20000.0
Biological,Epidemic,Bacterial disease,,Africa,Sub-Saharan Africa,Kenya,"Tana River, Garissa, Wajir, Meru, Machakos, Murang'a, Kiambu, Kajiado, Nairobi, Mandera, Marsabit, Kitui, Nyeri, West Pokot, Samburu, Uasin Gishu, Nakuru, Kajiado, Bomet, Homa Bay, Mombasa, Siaya, Meru Migori, Kisumu, Kwale, Isiolo, Kirinyaga, West Pokot, Busia",2022,10.0,2023,10.0,202.0,12123.0
Biological,Epidemic,Bacterial disease,,Africa,Sub-Saharan Africa,Malawi,"Machinga, Nsanje Chikwawa, Blantyre, Mulanje, Neno, Balaka, Lilongwe, Nkhatabay, Nkhotakota, Phalombe, Mangochi, Rumphi, Mzuzu, Balaka",2022,3.0,2023,3.0,1769.0,59088.0
Biological,Epidemic,Bacterial disease,,Africa,Sub-Saharan Africa,Mozambique,"Nampula, Zambezia Province",2024,10.0,2025,4.0,42.0,1773.0
Biological,Epidemic,Bacterial disease,,Africa,Sub-Saharan Africa,Mozambique,"Xai-Xai, Chilaulene (Gaza); Lichinga, Lago, Senga, Cuamba, Madimba, Chimbonila (Niassa); Machanga, Chibabbavu, Buzi, Dondo, Nhamatanda, Muanza, Gorongosa, Cheringoma, Merromeu, Maringue, Caia, Chemba and Beira city (Sofala); Angonia, Muturara (Tete); Milange (Zambezia)",2023,1.0,2023,1.0,141.0,33544.0
Biological,Epidemic,Bacterial disease,,Africa,Sub-Saharan Africa,Niger,"Maradi, Zinder, Tahoua, Dosso, Niamey and Tillaberi",2021,8.0,2021,8.0,166.0,5591.0
