,disaster_subtype,country,subregion,region,location,temperature,magnitude_scale,start_year,start_month,total_deaths,start_date,end_date,duration_days
0,Heat wave,India,Southern Asia,Asia,"Madhya Pradesh, Andhra Pradesh, Uttar Pradesh, Delhi, Rajasthan, Punjab, Haryana, Orissa, West Bengal provinces",50.0,°C,2002,5,1030.0,2002-05-10,2002-05-22,12 days
1,Heat wave,Bangladesh,Southern Asia,Asia,"Dhaka, Khulna, Rajshahi provinces",40.0,°C,2003,5,62.0,2003-05-10,2003-06-12,33 days
2,Heat wave,India,Southern Asia,Asia,"Andhra Pradesh, Orissa, Tamil Nadu, Vidarbha (=part of Maharashtra), Chhattisgarh, Jharkland, Uttar Pradesh, Rajasthan, Madhya Pradesh, Bihar provinces",49.0,°C,2003,5,1210.0,2003-05-14,2003-06-06,23 days
3,Heat wave,Pakistan,Southern Asia,Asia,Punjab province,50.0,°C,2003,5,200.0,2003-05-01,2003-06-06,36 days
4,Heat wave,Belgium,Western Europe,Europe,"Region de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest provinces",,°C,2003,8,1175.0,2003-08-01,2003-08-15,14 days
5,Heat wave,Czechia,Eastern Europe,Europe,"Jihocesky, Jihomoravsky, Praha, Severocesky, Severomoravsky, Stredocesky, Vychodocesky, Zapadocesky provinces",25.0,°C,2003,7,418.0,2003-07-19,2003-07-22,3 days
6,Heat wave,Spain,Southern Europe,Europe,Andaloucia province,40.0,°C,2003,8,15090.0,2003-08-01,2003-08-11,10 days
7,Heat wave,France,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",43.0,°C,2003,8,19490.0,2003-08-01,2003-08-20,19 days
8,Heat wave,Italy,Southern Europe,Europe,"Milano, Varese districts (Lombardia province), Torino district (Piemonte province), Firenze district (Toscana province), Lecce district (Puglia province), Genova district (Liguria province)",,°C,2003,7,20089.0,2003-07-16,2003-08-15,30 days
9,Heat wave,Netherlands (Kingdom of the),Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groninge, Limburg, Noord-brabant, Noord-holland,Overijssel, Utrecht, Zeeland, Zuit-holland provinces",,°C,2003,7,965.0,2003-07-31,2003-08-13,13 days
10,Heat wave,Portugal,Southern Europe,Europe,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guadra, Leiria, Lisboa, Portoalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu provinces",,°C,2003,7,2696.0,2003-07-30,2003-08-15,16 days
11,Heat wave,Algeria,Northern Africa,Africa,Adrar (province?/district?),47.0,°C,2003,6,40.0,2003-06-21,2003-07-21,30 days
12,Heat wave,Spain,Southern Europe,Europe,"Andalucía, Castilla-La Mancha, Comunidad de Madrid, Comunitat Valenciana, Extremadura, Región de Murcia provinces",,°C,2004,7,26.0,2004-07-26,2004-07-30,4 days
13,Heat wave,Canary Islands,Northern Africa,Africa,Canarias province,42.0,°C,2004,7,13.0,2004-07-26,2004-07-30,4 days
14,Heat wave,Pakistan,Southern Asia,Asia,"Punjab, Sindh, Balochistan provinces",50.0,°C,2005,6,106.0,2005-06-13,2005-06-28,15 days
15,Heat wave,United States of America,Northern America,Americas,"Arizona, Nevada, Oklahoma, Utah, Missouri, Kentucky, Ohio, Mississippi provinces",47.0,°C,2005,7,33.0,2005-07-04,2005-07-30,26 days
16,Heat wave,Romania,Eastern Europe,Europe,Bucuresti province,36.0,°C,2005,7,13.0,2005-07-27,2005-08-01,5 days
17,Heat wave,Germany,Western Europe,Europe,"Dresden city (Dresden district, Sachsen province), Brombach lake (Mittelfranken district, Bayern province)",,°C,2006,7,2.0,2006-07-15,2006-07-23,8 days
