latitude,longitude,country,region,location,city,notes
-90,-180,Antarctic,Antarctic,,,south pole
-89,-180,Antarctic,Antarctic,,,
-88,-180,Antarctic,Antarctic,,,
-87,-180,Antarctic,Antarctic,,,
-86,-180,Antarctic,Antarctic,,,
-85,-180,Antarctic,Antarctic,,,
-84,-180,Antarctic,Antarctic,,,
-83,-180,Antarctic,Antarctic,,,
-82,-180,Antarctic,Antarctic,,,
-81,-180,Antarctic,Antarctic,,,
-80,-180,Antarctic,Antarctic,,,
-79,-180,Antarctic,Antarctic,,,
-78,-180,Antarctic,Antarctic,,,
-85,-175,Antarctic,Antarctic,,,
-80,-175,Antarctic,Antarctic,,,
-80,-170,Antarctic,Antarctic,,,
-80,-160,Antarctic,Antarctic,,,
60,-160,United States of America,Alaska,,,
70,-160,United States of America,Alaska,,Wainwright,
-80,-150,Antarctic,Antarctic,,,
60,-150,United States of America,Alaska,,Anchorage,
70,-150,United States of America,Alaska,,Prudhoe Bay,
-80,-140,Antarctic,Antarctic,,,
60,-140,United States of America,Alaska,,Yakutat,
-80,-130,Antarctic,Antarctic,,,
60,-130,Canada,Yukon / BC,,Swift River,
70,-130,Canada,Northwest Territories,,Tuktoyaktuk,
-80,-120,Antarctic,Antarctic,,,
40,-120,United States of America,California / Nevada,,Reno,
50,-120,Canada,British Columbia,,Vancouver,
60,-120,Canada,BC/Alberta/NW Terr,,,
-80,-110,Antarctic,Antarctic,,,
30,-110,Mexico,Sonora,,Banamichi,
40,-110,United States of America,Utah,,Ouray,
50,-110,Canada,Alberta / Saskatchewan,,Calgary,
60,-110,Canada,Alberta / Saskatchewan / NW Terr,,,
70,-110,Canada,Nunavut,,,
-80,-100,Antarctic,Antarctic,,,
20,-100,Mexico,,,Mexico City,
30,-100,United States of America,Texas,,San Antonio,
40,-100,United States of America,Nebraska / Kansas,,,
50,-100,Canada,Manitoba,,Winnipeg,
60,-100,Canada,Nunavut / Manitoba,,,
80,-100,Canada,,,,
-80,-90,Antarctic,Antarctic,,,
20,-90,Mexico,Campeche / Yucatan,,Campeche,
30,-90,United States of America,Lousiana,,New Orleans,
