,Country,ISO,Year,Population,Magnitude,Total_Heat_Deaths,Percentage_Heat_Deaths,Total_Cold_Deaths,Percentage_Cold_Deaths,Total_Deaths,Start Month,End Month,Months_Duration,Start Day,End Day,Days_Duration
0,Bangladesh,BGD,2000,134544304.0,6.4,0.0,0.0,49.0,0.0044007562115775814,1113445.0,1,1.0,1.0,,,
1,India,IND,2000,1057922733.0,,0.0,0.0,275.0,0.003012895961634769,9127431.0,1,1.0,1.0,,,
2,Bulgaria,BGR,2000,8170172.0,,0.0,0.0,,0.0,115129.0,1,1.0,1.0,,,
3,Egypt,EGY,2000,73083284.0,2.0,0.0,0.0,3.0,0.0006496487565722799,461788.0,1,1.0,1.0,,,
4,Russian Federation,RUS,2000,146596869.0,,0.0,0.0,13.0,0.0005686393641037216,2286159.0,2,2.0,1.0,,,
5,Belarus,BLR,2000,9979610.0,,0.0,0.0,,0.0,140616.0,5,5.0,1.0,,,
6,Croatia,HRV,2000,4468302.0,35.0,40.0,0.07600372418248494,0.0,0.0,52629.0,6,6.0,1.0,,,
7,Ukraine,UKR,2000,49556660.0,,0.0,0.0,,0.0,751826.0,5,5.0,1.0,1.0,11.0,11.0
8,Pakistan,PAK,2000,154879127.0,46.0,24.0,0.001741341180977589,0.0,0.0,1378248.0,6,6.0,1.0,,,
9,Greece,GRC,2000,10805808.0,44.4,27.0,0.02572212483804588,0.0,0.0,104968.0,7,7.0,1.0,,,
10,Romania,ROU,2000,22442971.0,43.0,6.0,0.002339965836498787,0.0,0.0,256414.0,7,7.0,1.0,,,
11,Türkiye,TUR,2000,65425961.0,46.0,11.0,0.0028878212701163005,0.0,0.0,380910.0,6,7.0,2.0,,,
12,Bulgaria,BGR,2000,8170172.0,43.1,7.0,0.006080136195050769,0.0,0.0,115129.0,6,7.0,2.0,,,
13,Serbia Montenegro,SCG,2000,,42.0,3.0,0.0,0.0,0.0,,7,7.0,1.0,,,
14,Cyprus,CYP,2000,947667.0,43.0,5.0,0.07970667941973537,0.0,0.0,6273.0,7,7.0,1.0,,,
15,Bolivia (Plurinational State of),BOL,2000,8606326.0,-9.0,0.0,0.0,6.0,0.007154525833800365,83863.0,7,7.0,1.0,,,
16,Argentina,ARG,2000,37213984.0,0.0,0.0,0.0,15.0,0.0053248514366449175,281698.0,6,6.0,1.0,17.0,17.0,1.0
17,Uruguay,URY,2000,3266206.0,-7.5,0.0,0.0,7.0,0.022548640639092902,31044.0,7,7.0,1.0,,,
18,Chile,CHL,2000,15503635.0,-20.0,0.0,0.0,,0.0,77691.0,7,7.0,1.0,3.0,3.0,1.0
19,United States of America,USA,2000,282162411.0,38.0,35.0,0.0014439456185326707,0.0,0.0,2423914.0,7,7.0,1.0,,,
20,Jordan,JOR,2000,5386945.0,43.4,,0.0,0.0,0.0,20101.0,7,7.0,1.0,,,
21,Israel,ISR,2000,6289000.0,45.0,,0.0,0.0,0.0,34371.0,7,7.0,1.0,,,
22,Paraguay,PRY,2000,5100868.0,-5.0,0.0,0.0,8.0,0.029459419649432907,27156.0,7,7.0,1.0,,,
23,Morocco,MAR,2000,28423435.0,51.0,,0.0,0.0,0.0,183547.0,8,8.0,1.0,,,
24,Kyrgyzstan,KGZ,2000,4898362.0,0.0,0.0,0.0,11.0,0.027412280701754384,40128.0,10,10.0,1.0,16.0,16.0,1.0
25,Russian Federation,RUS,2000,146596869.0,-7.0,0.0,0.0,232.0,0.010148025574774108,2286159.0,10,10.0,1.0,10.0,10.0,1.0
26,Mexico,MEX,2000,98625552.0,,0.0,0.0,66.0,0.01220940234975498,540567.0,10,10.0,1.0,,,
27,Poland,POL,2000,38258629.0,-23.0,0.0,0.0,84.0,0.022617246188724766,371398.0,12,12.0,1.0,,,
28,India,IND,2001,1077898575.0,-22.0,0.0,0.0,125.0,0.001367132045706396,9143228.0,1,1.0,1.0,,,
29,Kazakhstan,KAZ,2001,15575550.0,-47.0,0.0,0.0,3.0,0.0018295025582544106,163979.0,1,1.0,1.0,,,
30,Russian Federation,RUS,2001,145976482.0,-57.0,0.0,0.0,145.0,0.006281339008198231,2308425.0,1,2.0,2.0,,,
31,Afghanistan,AFG,2001,20284307.0,-25.0,0.0,0.0,150.0,0.06186255789304376,242473.0,1,2.0,2.0,31.0,20.0,20.0
32,Argentina,ARG,2001,37624825.0,-28.0,0.0,0.0,14.0,0.004963817317340386,282041.0,7,7.0,1.0,,,
33,Russian Federation,RUS,2001,145976482.0,30.0,276.0,0.01195620390526008,0.0,0.0,2308425.0,7,7.0,1.0,,,
34,Russian Federation,RUS,2001,145976482.0,-26.0,0.0,0.0,332.0,0.014382100349805603,2308425.0,10,10.0,1.0,,,
35,Poland,POL,2001,38248076.0,-25.0,0.0,0.0,270.0,0.07420212108137224,363871.0,10,1.0,4.0,10.0,20.0,11.0
36,Romania,ROU,2001,22131970.0,-31.0,0.0,0.0,10.0,0.003833091848546875,260886.0,12,12.0,1.0,1.0,1.0,1.0
37,Afghanistan,AFG,2001,20284307.0,,0.0,0.0,177.0,0.07299781831379164,242473.0,11,11.0,1.0,,,
38,India,IND,2001,1077898575.0,,0.0,0.0,48.0,0.000524978705551256,9143228.0,12,12.0,1.0,,,
39,Hungary,HUN,2001,10187576.0,-20.0,0.0,0.0,81.0,0.06165932083399941,131367.0,12,12.0,1.0,,,
40,Türkiye,TUR,2001,66245128.0,,0.0,0.0,29.0,0.007560017414109078,383597.0,12,12.0,1.0,17.0,17.0,1.0
41,North Macedonia,MKD,2001,2034882.0,-25.0,0.0,0.0,15.0,0.08539223499943072,17566.0,12,12.0,1.0,,,
42,Latvia,LVA,2001,2337170.0,-25.0,0.0,0.0,21.0,0.06304791641647652,33308.0,10,10.0,1.0,,,
43,Lithuania,LTU,2001,3470818.0,,0.0,0.0,20.0,0.049539284652729616,40372.0,12,12.0,1.0,,,
44,Bangladesh,BGD,2001,136805810.0,7.0,0.0,0.0,6.0,0.0005527498383206723,1085482.0,12,12.0,1.0,,,
45,Guatemala,GTM,2001,11969422.0,,0.0,0.0,,0.0,73328.0,11,11.0,1.0,,,
46,United States of America,USA,2001,284968955.0,,56.0,0.002301758008782029,0.0,0.0,2432923.0,8,8.0,1.0,,,
47,New Zealand,NZL,2001,3880500.0,,,0.0,0.0,0.0,28096.0,1,4.0,4.0,,,
48,Pakistan,PAK,2002,163222549.0,50.0,113.0,0.008152093536976959,0.0,0.0,1386147.0,5,5.0,1.0,,,
49,India,IND,2002,1097600380.0,50.0,1030.0,0.011314269996708976,0.0,0.0,9103548.0,5,5.0,1.0,10.0,22.0,13.0
50,Nigeria,NGA,2002,133471989.0,60.0,60.0,0.0026758692784340098,0.0,0.0,2242262.0,6,6.0,1.0,,,
51,United States of America,USA,2002,287625193.0,,14.0,0.0005686771027038971,0.0,0.0,2461854.0,6,6.0,1.0,,,
52,Argentina,ARG,2002,38029349.0,,0.0,0.0,,0.0,286385.0,7,7.0,1.0,,,
53,Chile,CHL,2002,15857925.0,,0.0,0.0,,0.0,79493.0,7,7.0,1.0,,,
54,China,CHN,2002,1280400000.0,43.0,7.0,8.841969748337331e-05,0.0,0.0,7916788.0,7,7.0,1.0,,,
55,Russian Federation,RUS,2002,145306497.0,-50.0,0.0,0.0,242.0,0.0101476780686872,2384782.0,10,10.0,1.0,,,
56,Poland,POL,2002,38230364.0,-25.0,0.0,0.0,183.0,0.05049139439021295,362438.0,10,1.0,4.0,,,
57,Romania,ROU,2002,21730496.0,-11.0,0.0,0.0,10.0,0.0035847433323774017,278960.0,12,12.0,1.0,7.0,7.0,1.0
58,Mexico,MEX,2002,101548624.0,-10.0,0.0,0.0,50.0,0.00903520295776404,553391.0,12,12.0,1.0,24.0,24.0,1.0
59,India,IND,2002,1097600380.0,5.0,0.0,0.0,900.0,0.009886255336930173,9103548.0,12,12.0,1.0,,,
60,Bangladesh,BGD,2002,138933658.0,3.0,0.0,0.0,700.0,0.0663148820068778,1055570.0,12,1.0,2.0,15.0,,
61,Nepal,NPL,2002,25328981.0,0.0,0.0,0.0,60.0,0.029938177663125645,200413.0,12,12.0,1.0,,,
62,Pakistan,PAK,2002,163222549.0,0.0,0.0,0.0,,0.0,1386147.0,12,12.0,1.0,,,
63,Latvia,LVA,2003,2287955.0,-37.0,0.0,0.0,15.0,0.04582251412860852,32735.0,1,1.0,1.0,,,
64,Bangladesh,BGD,2003,140970351.0,40.0,62.0,0.006023546236546604,0.0,0.0,1029294.0,5,6.0,2.0,10.0,12.0,3.0
65,India,IND,2003,1116803006.0,49.0,1210.0,0.013334113544274601,0.0,0.0,9074469.0,5,6.0,2.0,14.0,6.0,23.0
66,Pakistan,PAK,2003,167110248.0,50.0,200.0,0.01438548791978652,0.0,0.0,1390290.0,5,6.0,2.0,1.0,6.0,6.0
67,Peru,PER,2003,27580490.0,-28.0,0.0,0.0,339.0,0.21643086980948975,156632.0,7,8.0,2.0,7.0,15.0,9.0
68,Austria,AUT,2003,8121423.0,,345.0,0.44563855483937637,0.0,0.0,77417.0,7,8.0,2.0,,,
69,Belgium,BEL,2003,10376133.0,,1175.0,1.0967573319394404,0.0,0.0,107134.0,8,8.0,1.0,1.0,15.0,15.0
70,Switzerland,CHE,2003,7339001.0,,1039.0,1.639628834743088,0.0,0.0,63368.0,7,7.0,1.0,,,
71,Czechia,CZE,2003,10193998.0,25.0,418.0,0.37522778480955843,0.0,0.0,111399.0,7,7.0,1.0,19.0,22.0,4.0
72,Germany,DEU,2003,82534176.0,,9355.0,1.0901078105554598,0.0,0.0,858172.0,8,8.0,1.0,,,
73,Spain,ESP,2003,42187645.0,40.0,15090.0,3.9801441186710695,0.0,0.0,379132.0,8,8.0,1.0,1.0,11.0,11.0
74,France,FRA,2003,62249855.0,43.0,19490.0,3.510705941901329,0.0,0.0,555159.0,8,8.0,1.0,1.0,20.0,20.0
