,country,subregion,region,location,temperature,start_year,start_month,total_deaths,start_date,end_date,duration_days,duration,latitude,longitude,delta_temp_C,delta_temp_std
0,Afghanistan,Southern Asia,Asia,"Hirat, Faryab, Jawzjan, Balkh, Samangan, Sar-e-Pul, Kunduz, Baghlan provinces",-25.0,2001,1,150.0,2001-01-31,2001-02-20,20 days,20,30.0,70.0,-24.85682089032354,-8.561157847322185
1,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",-25.0,2001,10,270.0,2001-10-10,2002-01-20,102 days,102,50.0,20.0,-15.94167423803624,-4.306347794817606
2,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",-25.0,2001,10,270.0,2001-10-10,2002-01-20,102 days,102,50.0,20.0,-15.94167423803624,-4.306347794817606
3,Peru,Latin America and the Caribbean,Americas,"Ayacucho, Huancavelica, Tacna, Moquegua, Arequipa, Puno, Cusco, Apurimac provinces",-28.0,2003,7,339.0,2003-07-07,2003-08-15,39 days,39,-10.0,-70.0,-43.303702828094686,-20.4419717690481
4,South Africa,Sub-Saharan Africa,Africa,"Gauteng, Eastern Cape provinces",0.0,2007,5,22.0,2007-05-21,2007-05-27,6 days,6,-30.0,30.0,-1.6908483384450594,-0.6726427057060305
5,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",-25.0,2008,11,82.0,2008-11-01,2009-01-08,68 days,68,50.0,20.0,-14.382446202359905,-3.694790125761418
6,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",-25.0,2008,11,82.0,2008-11-01,2009-01-08,68 days,68,50.0,20.0,-14.382446202359905,-3.694790125761418
7,Romania,Eastern Europe,Europe,"Alba, Arad, Bihor, Bistrita-nasaud, Brasov, Bucuresti, Caras-severin, Cluj, Constanta, Covasna, Harghita, Hunedoara, Maramures, Mures, Salaj, Satu Mare, Sibiu, Timis provinces",-31.0,2009,1,43.0,2009-01-01,2009-01-15,14 days,14,50.0,20.0,-17.36019171283399,-3.91644437514691
8,Germany,Western Europe,Europe,"Bayern, Berlin, Hamburg provinces, Leipzig district (Sachsen province), Hanover city (no Admin 2, Niedersachsen province), Gruenow city (no admin 2, Brandenburg province)",-33.6,2009,12,14.0,2009-12-18,2010-01-25,38 days,38,50.0,10.0,-24.188667376169455,-6.483160844867794
9,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",-35.0,2009,11,298.0,2009-11-01,2010-01-26,86 days,86,50.0,20.0,-23.7571521700442,-5.926544049785966
