,Start Year,End Year,Disaster Subtype,Country,Location,Total Deaths,Year,Population,deaths
0,2020,2020,Cold wave,State of Palestine,West Bank and Gaza Strip,3.0,2020,,
1,2020,2020,Heat wave,Belgium,,1687.0,2020,11538604.0,127253.0
2,2020,2020,Heat wave,France,,1924.0,2020,67601110.0,664553.0
3,2020,2020,Heat wave,United Kingdom of Great Britain and Northern Ireland,,2556.0,2020,,
4,2020,2020,Heat wave,Netherlands (Kingdom of the),,400.0,2020,,
5,2021,2021,Heat wave,Canada,British Columbia,815.0,2021,38239864.0,311189.0
6,2021,2021,Heat wave,United States of America,"Oregon, Washington, Northern California, Idaho, Western Nevada",229.0,2021,,
7,2021,2021,Cold wave,France,Rhone region,,2021,67842811.0,654168.0
8,2022,2022,Severe winter conditions,State of Palestine,West Bank & Gaza Strip,4.0,2022,,
9,2022,2022,Heat wave,India,"Maharashtra State, West Rajasthan",25.0,2022,1425423212.0,9373180.0
10,2022,2022,Heat wave,Pakistan,,,2022,243700667.0,1587285.0
11,2022,2022,Heat wave,Japan,"Gunma, Tochigi, Yamanashi, Aichi, Tokyo",80.0,2022,125124989.0,1615301.0
12,2022,2022,Heat wave,Republic of Korea,,2.0,2022,,
13,2022,2022,Heat wave,Albania,,352.0,2022,2777689.0,24626.0
14,2022,2022,Heat wave,Austria,,419.0,2022,9041851.0,96596.0
15,2022,2022,Heat wave,Belgium,,434.0,2022,11680210.0,119831.0
16,2022,2022,Heat wave,Bulgaria,,1277.0,2022,6465097.0,115520.0
17,2022,2022,Heat wave,Switzerland,,302.0,2022,8777088.0,76536.0
18,2022,2022,Heat wave,Cyprus,,101.0,2022,1331370.0,10246.0
19,2022,2022,Heat wave,Czechia,,279.0,2022,10672118.0,117353.0
20,2022,2022,Heat wave,Germany,,8173.0,2022,83797985.0,1082759.0
21,2022,2022,Heat wave,Denmark,"Abed, Stokkemarke Parish, Lolland, Copenhagen, Vordingborg",252.0,2022,5903037.0,59397.0
22,2022,2022,Heat wave,Spain,,11324.0,2022,47786102.0,481525.0
23,2022,2022,Heat wave,Estonia,,167.0,2022,1348840.0,17078.0
24,2022,2022,Heat wave,Finland,,225.0,2022,5556106.0,63005.0
25,2022,2022,Heat wave,France,,4807.0,2022,68065015.0,658801.0
26,2022,2022,Heat wave,United Kingdom of Great Britain and Northern Ireland,,3469.0,2022,,
27,2022,2022,Heat wave,Greece,,3092.0,2022,10436882.0,146529.0
28,2022,2022,Heat wave,Croatia,"Zagreb, Osijek, Karlovac, Slavonski Brod, Knin, Valopovo",731.0,2022,3855641.0,53347.0
29,2022,2022,Heat wave,Hungary,,513.0,2022,9605074.0,133844.0
30,2022,2022,Heat wave,Ireland,,26.0,2022,5212836.0,35140.0
31,2022,2022,Heat wave,Italy,,18010.0,2022,59013667.0,741667.0
32,2022,2022,Heat wave,Lithuania,,381.0,2022,2831639.0,44731.0
33,2022,2022,Heat wave,Luxembourg,,44.0,2022,653103.0,4550.0
34,2022,2022,Heat wave,Latvia,,105.0,2022,1879383.0,29860.0
35,2022,2022,Heat wave,Malta,,76.0,2022,531113.0,4110.0
36,2022,2022,Heat wave,Montenegro,,50.0,2022,623591.0,7333.0
37,2022,2022,Heat wave,Netherlands (Kingdom of the),,469.0,2022,,
38,2022,2022,Heat wave,Norway,,30.0,2022,5457127.0,45619.0
39,2022,2022,Heat wave,Poland,,763.0,2022,36821749.0,421549.0
40,2022,2022,Heat wave,Portugal,,2212.0,2022,10434332.0,125515.0
41,2022,2022,Heat wave,Romania,,2455.0,2022,19048502.0,268227.0
42,2022,2022,Heat wave,Serbia,,574.0,2022,6664449.0,107640.0
43,2022,2022,Heat wave,Slovakia,,365.0,2022,,58388.0
44,2022,2022,Heat wave,Slovenia,,154.0,2022,2112076.0,22493.0
45,2022,2022,Heat wave,Sweden,,40.0,2022,10486941.0,94673.0
