,country,subregion,region,location,temperature,start_year,start_month,total_deaths,start_date,end_date,duration_days,duration,latitude,longitude,delta_temp_C,delta_temp_std
0,India,Southern Asia,Asia,"Madhya Pradesh, Andhra Pradesh, Uttar Pradesh, Delhi, Rajasthan, Punjab, Haryana, Orissa, West Bengal provinces",50.0,2002,5,1030.0,2002-05-10,2002-05-22,12 days,12,20.0,80.0,26.64181816990943,13.398197819359323
1,Bangladesh,Southern Asia,Asia,"Dhaka, Khulna, Rajshahi provinces",40.0,2003,5,62.0,2003-05-10,2003-06-12,33 days,33,30.0,90.0,55.978310171944756,16.90477397591128
2,India,Southern Asia,Asia,"Andhra Pradesh, Orissa, Tamil Nadu, Vidarbha (=part of Maharashtra), Chhattisgarh, Jharkland, Uttar Pradesh, Rajasthan, Madhya Pradesh, Bihar provinces",49.0,2003,5,1210.0,2003-05-14,2003-06-06,23 days,23,20.0,80.0,26.18057312337375,12.736790334291044
3,Pakistan,Southern Asia,Asia,Punjab province,50.0,2003,5,200.0,2003-05-01,2003-06-06,36 days,36,30.0,70.0,36.546044853551855,13.30993968553268
4,Czechia,Eastern Europe,Europe,"Jihocesky, Jihomoravsky, Praha, Severocesky, Severomoravsky, Stredocesky, Vychodocesky, Zapadocesky provinces",25.0,2003,7,418.0,2003-07-19,2003-07-22,3 days,3,50.0,20.0,15.662069951272922,6.781607880892353
5,Spain,Southern Europe,Europe,Andaloucia province,40.0,2003,8,15090.0,2003-08-01,2003-08-11,10 days,10,40.0,0.0,20.956161125710057,13.225561542179667
6,France,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",43.0,2003,8,19490.0,2003-08-01,2003-08-20,19 days,19,50.0,0.0,25.046194308965138,12.513938957069605
7,Algeria,Northern Africa,Africa,Adrar (province?/district?),47.0,2003,6,40.0,2003-06-21,2003-07-21,30 days,30,30.0,0.0,18.35082329668546,12.12857008170931
8,Canary Islands,Northern Africa,Africa,Canarias province,42.0,2004,7,13.0,2004-07-26,2004-07-30,4 days,4,20.0,-10.0,33.11291676420293,14.725346819703333
9,Pakistan,Southern Asia,Asia,"Punjab, Sindh, Balochistan provinces",50.0,2005,6,106.0,2005-06-13,2005-06-28,15 days,15,30.0,70.0,26.725766445063353,11.404444140073588
10,United States of America,Northern America,Americas,"Arizona, Nevada, Oklahoma, Utah, Missouri, Kentucky, Ohio, Mississippi provinces",47.0,2005,7,33.0,2005-07-04,2005-07-30,26 days,26,,,21.51182798809055,13.19207453633408
11,Romania,Eastern Europe,Europe,Bucuresti province,36.0,2005,7,13.0,2005-07-27,2005-08-01,5 days,5,50.0,20.0,25.04910828955338,11.3677703277527
12,Spain,Southern Europe,Europe,"Cataluña/Catalunya, Comunitat Valenciana provinces",40.0,2006,7,21.0,2006-07-15,2006-08-04,20 days,20,40.0,0.0,28.642573132180072,17.448446359330372
13,France,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",37.0,2006,7,1388.0,2006-07-15,2006-07-23,8 days,8,50.0,0.0,30.96206995127292,13.406441054314623
14,Netherlands (Kingdom of the),Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groninge, Limburg, Noord-brabant, Noord-holland,Overijssel, Utrecht, Zeeland, Zuit-holland provinces",34.0,2006,7,1000.0,2006-07-15,2006-07-23,8 days,8,50.0,10.0,25.686986046183854,12.65427902697478
15,Portugal,Southern Europe,Europe,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guadra, Leiria, Lisboa, Portoalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu provinces",47.0,2006,7,41.0,2006-07-11,2006-07-17,6 days,6,40.0,0.0,18.002631318375165,9.300354452157157
16,United States of America,Northern America,Americas,"Modesto city (Stanislaus district, California province)",50.0,2006,7,164.0,2006-07-14,2006-08-15,32 days,32,,,30.472351425813414,17.687389528744202
17,United States of America,Northern America,Americas,New York province,44.0,2006,7,24.0,2006-07-30,2006-08-06,7 days,7,,,23.268638984145262,12.340689148423856
18,Slovakia,Eastern Europe,Europe,"Banska Bystrica, Bratislava, Kosice, Nitra, Presov, Trencin, Trnava, Zilna provinces",40.3,2007,7,1.0,2007-07-15,2007-07-22,7 days,7,50.0,20.0,22.002631318375165,11.366797804282989
19,India,Southern Asia,Asia,"Orissa, West Bengal, Bihar, Uttar Pradesh, Jharkhand, Andhra Pradesh provinces",48.0,2009,4,120.0,2009-04-14,2009-06-26,73 days,73,20.0,80.0,24.64181816990943,12.392395757809942
20,Australia,Australia and New Zealand,Oceania,"Victoria, New South wales (South), Tasmania (Northern) provinces",48.8,2009,1,347.0,2009-01-27,2009-02-08,12 days,12,,,28.112916764202932,12.501841876819183
21,Japan,Eastern Asia,Asia,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi provinces",35.0,2010,7,170.0,2010-07-19,2010-07-25,6 days,6,40.0,140.0,23.078015329960973,12.872244192789855
22,United States of America,Northern America,Americas,"New York, Washington, Texas, Ohio, Maine, Iowa, Illinois, Minnesota, Nebraska, Wisconsin, South Dakota provinces",50.0,2011,7,22.0,2011-07-19,2011-07-22,3 days,3,,,34.933678086840146,16.38385340007995
23,Italy,Southern Europe,Europe,"Milano district (Lombardia province), Torino district (Piemonte province), Trieste district (Friuli-venezia Giulia province), Verona district (Veneto province), Messina district (Sicilia province), Roma district (Lazio province), Napoli district (Campania province)",47.0,2011,8,10.0,2011-08-17,2011-08-24,7 days,7,40.0,20.0,28.394003146992432,15.206428791461827
24,United States of America,Northern America,Americas,"District of Columbia, Iowa, Virginia, North Carolina provinces",40.0,2012,6,123.0,2012-06-30,2012-07-19,19 days,19,,,25.50557952604514,12.849382488641284
25,India,Southern Asia,Asia,"Adilabad, East Godavari, Guntur, Karimnagar, Khammam, Krishna, Nalgonda, Nizamabad, Prakasam, Vishakhapatnam, Warangal, West Godavari districts (Andhra Pradesh province)",46.0,2013,4,557.0,2013-04-01,2013-05-30,59 days,59,20.0,80.0,29.21052125794197,10.233343896679145
26,Australia,Australia and New Zealand,Oceania,"Western Australia, Victoria provinces",52.0,2014,1,139.0,2014-01-13,2014-01-18,5 days,5,,,24.102631318375174,12.45168056414905
