Country,count
Afghanistan,5
Niger,5
Nepal,5
Myanmar,5
Mozambique,5
Morocco,5
Mexico,5
Mali,5
Malaysia,5
Malawi,5
Madagascar,5
Liberia,5
Lebanon,5
Lao People's Democratic Republic,5
Kenya,5
Japan,5
Italy,5
Iraq,5
Iran (Islamic Republic of),5
Indonesia,5
India,5
Honduras,5
Guinea,5
Guatemala,5
Greece,5
New Zealand,5
Nigeria,5
Georgia,5
Pakistan,5
Zambia,5
Yemen,5
Viet Nam,5
Venezuela (Bolivarian Republic of),5
United States of America,5
United Republic of Tanzania,5
Uganda,5
Türkiye,5
Tunisia,5
Thailand,5
Taiwan (Province of China),5
Syrian Arab Republic,5
Sri Lanka,5
Spain,5
South Sudan,5
South Africa,5
Somalia,5
Rwanda,5
Russian Federation,5
Republic of Korea,5
Philippines,5
Peru,5
Panama,5
Germany,5
Libya,5
Costa Rica,5
Benin,5
China,5
Democratic Republic of the Congo,5
Côte d’Ivoire,5
Chad,5
Bangladesh,5
Bosnia and Herzegovina,5
Dominican Republic,5
Ecuador,5
Egypt,5
Australia,5
El Salvador,5
Canada,5
Brazil,5
Cameroon,5
Argentina,5
Ethiopia,5
Bolivia (Plurinational State of),5
Cuba,5
Burkina Faso,5
France,5
Algeria,5
Colombia,5
Mongolia,4
Mauritania,4
Congo,4
Slovakia,4
Sudan,4
Chile,4
Namibia,4
Sierra Leone,4
Central African Republic,4
Senegal,4
Romania,4
Papua New Guinea,4
Serbia,4
Burundi,4
Croatia,4
Tajikistan,4
Haiti,4
Uruguay,4
Armenia,4
Ukraine,4
Angola,4
Kazakhstan,4
Kyrgyzstan,4
Fiji,4
Ghana,4
Czechia,4
Poland,4
Uzbekistan,4
Saint Lucia,3
Bulgaria,3
Portugal,3
Austria,3
Saint Vincent and the Grenadines,3
Slovenia,3
United Kingdom of Great Britain and Northern Ireland,3
Timor-Leste,3
Belize,3
Switzerland,3
Suriname,3
Cambodia,3
Zimbabwe,3
Canary Islands,3
Paraguay,3
Democratic People's Republic of Korea,3
Oman,3
Cabo Verde,2
Lesotho,2
Puerto Rico,2
Belgium,2
Jordan,2
Togo,2
Tonga,2
Djibouti,2
Cyprus,2
United Arab Emirates,2
Israel,2
Equatorial Guinea,2
Guyana,2
Vanuatu,2
Guinea-Bissau,2
State of Palestine,2
Sweden,2
Gabon,2
Marshall Islands,2
Nicaragua,2
Norway,2
Gambia,2
Saudi Arabia,2
Netherlands (Kingdom of the),2
Botswana,2
Maldives,2
Sao Tome and Principe,2
Eswatini,1
Republic of Moldova,1
Grenada,1
Palau,1
French Guiana,1
Iceland,1
Ireland,1
North Macedonia,1
Bhutan,1
Azerbaijan,1
Jamaica,1
Luxembourg,1
Barbados,1
Trinidad and Tobago,1
Seychelles,1
Denmark,1
Belarus,1
Micronesia (Federated States of),1
Latvia,1
Solomon Islands,1
Albania,1
Tuvalu,1
