,Country,Start Year,Start Month,Total Death Heat Wave,Total Death Cold Wave + Severe Winter Conditions,Total Death Country Year,Pct Death Heat Wave,Pct Death Cold Wave + Severe Winter Conditions
0,Afghanistan,2020,1.0,0.0,0.0,13.0,0.0,0.0
1,Afghanistan,2020,2.0,0.0,0.0,22.0,0.0,0.0
2,Afghanistan,2020,3.0,0.0,0.0,56.0,0.0,0.0
3,Afghanistan,2020,4.0,0.0,0.0,5.0,0.0,0.0
4,Afghanistan,2020,5.0,0.0,0.0,4.0,0.0,0.0
5,Afghanistan,2020,7.0,0.0,0.0,16.0,0.0,0.0
6,Afghanistan,2020,8.0,0.0,0.0,212.0,0.0,0.0
7,Afghanistan,2021,1.0,0.0,0.0,0.0,0.0,0.0
8,Afghanistan,2021,3.0,0.0,0.0,20.0,0.0,0.0
9,Afghanistan,2021,5.0,0.0,0.0,116.0,0.0,0.0
10,Afghanistan,2021,7.0,0.0,0.0,260.0,0.0,0.0
11,Afghanistan,2022,1.0,0.0,0.0,28.0,0.0,0.0
12,Afghanistan,2022,2.0,0.0,0.0,19.0,0.0,0.0
13,Afghanistan,2022,5.0,0.0,0.0,20.0,0.0,0.0
14,Afghanistan,2022,6.0,0.0,0.0,1099.0,0.0,0.0
15,Afghanistan,2022,7.0,0.0,0.0,13.0,0.0,0.0
16,Afghanistan,2022,8.0,0.0,0.0,156.0,0.0,0.0
17,Afghanistan,2022,12.0,0.0,0.0,31.0,0.0,0.0
18,Afghanistan,2023,1.0,0.0,166.0,166.0,0.0,100.0
19,Afghanistan,2023,3.0,0.0,0.0,5.0,0.0,0.0
20,Afghanistan,2023,5.0,0.0,0.0,4.0,0.0,0.0
21,Afghanistan,2023,7.0,0.0,0.0,67.0,0.0,0.0
22,Afghanistan,2023,10.0,0.0,0.0,2446.0,0.0,0.0
23,Afghanistan,2024,1.0,0.0,0.0,178.0,0.0,0.0
24,Afghanistan,2024,2.0,0.0,0.0,64.0,0.0,0.0
25,Afghanistan,2024,3.0,0.0,1197.0,1204.0,0.0,99.4186046511628
26,Afghanistan,2024,5.0,0.0,0.0,507.0,0.0,0.0
27,Afghanistan,2024,6.0,0.0,0.0,12.0,0.0,0.0
28,Afghanistan,2024,7.0,0.0,0.0,75.0,0.0,0.0
29,Afghanistan,2024,10.0,0.0,0.0,13.0,0.0,0.0
30,Albania,2021,1.0,0.0,0.0,0.0,0.0,0.0
31,Algeria,2020,1.0,0.0,0.0,12.0,0.0,0.0
32,Algeria,2020,8.0,0.0,0.0,0.0,0.0,0.0
33,Algeria,2020,12.0,0.0,0.0,19.0,0.0,0.0
34,Algeria,2021,3.0,0.0,0.0,10.0,0.0,0.0
35,Algeria,2021,7.0,0.0,0.0,18.0,0.0,0.0
36,Algeria,2021,8.0,0.0,0.0,90.0,0.0,0.0
37,Algeria,2021,9.0,0.0,0.0,13.0,0.0,0.0
38,Algeria,2021,10.0,0.0,0.0,3.0,0.0,0.0
39,Algeria,2022,8.0,0.0,0.0,44.0,0.0,0.0
40,Algeria,2022,11.0,0.0,0.0,16.0,0.0,0.0
41,Algeria,2023,1.0,0.0,0.0,17.0,0.0,0.0
42,Algeria,2023,2.0,0.0,0.0,10.0,0.0,0.0
43,Algeria,2023,7.0,0.0,0.0,68.0,0.0,0.0
44,Algeria,2023,9.0,0.0,0.0,8.0,0.0,0.0
45,Algeria,2024,2.0,0.0,0.0,0.0,0.0,0.0
46,Algeria,2024,7.0,0.0,0.0,68.0,0.0,0.0
