,disaster_subtype,country,subregion,region,location,temperature,magnitude_scale,start_year,start_month,total_deaths,start_date,end_date,duration_days
0,Cold wave,Afghanistan,Southern Asia,Asia,"Hirat, Faryab, Jawzjan, Balkh, Samangan, Sar-e-Pul, Kunduz, Baghlan provinces",-25.0,°C,2001,1,150.0,2001-01-31,2001-02-20,20 days
1,Cold wave,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",-25.0,°C,2001,10,270.0,2001-10-10,2002-01-20,102 days
2,Cold wave,Peru,Latin America and the Caribbean,Americas,"Ayacucho, Huancavelica, Tacna, Moquegua, Arequipa, Puno, Cusco, Apurimac provinces",-28.0,°C,2003,7,339.0,2003-07-07,2003-08-15,39 days
3,Cold wave,United States of America,Northern America,Americas,"Connecticut, Delaware, Maryland, Maine, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont provinces",,°C,2004,1,3.0,2004-01-09,2004-01-12,3 days
4,Cold wave,Germany,Western Europe,Europe,Nordrhein-Westfalen province,,°C,2005,11,1.0,2005-11-25,2005-11-27,2 days
5,Cold wave,France,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,°C,2005,11,6.0,2005-11-23,2005-11-27,4 days
6,Cold wave,South Africa,Sub-Saharan Africa,Africa,"Gauteng, Eastern Cape provinces",0.0,°C,2007,5,22.0,2007-05-21,2007-05-27,6 days
7,Cold wave,India,Southern Asia,Asia,Jammu and Kashmir province,,°C,2007,3,66.0,2007-03-11,2007-03-14,3 days
8,Cold wave,France,Western Europe,Europe,"Ile-de-France, Nord-Pas-de-Calais, Provence-Alpes-Cote-d'Azur provinces",,°C,2009,1,2.0,2009-01-06,2009-01-08,2 days
9,Cold wave,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",-25.0,°C,2008,11,82.0,2008-11-01,2009-01-08,68 days
10,Cold wave,Romania,Eastern Europe,Europe,"Alba, Arad, Bihor, Bistrita-nasaud, Brasov, Bucuresti, Caras-severin, Cluj, Constanta, Covasna, Harghita, Hunedoara, Maramures, Mures, Salaj, Satu Mare, Sibiu, Timis provinces",-31.0,°C,2009,1,43.0,2009-01-01,2009-01-15,14 days
11,Cold wave,United States of America,Northern America,Americas,"Texas, Pennsylvania, Oklahoma, Kentucky, Missouri, Arkansas, District of Columbia provinces",,°C,2009,1,58.0,2009-01-26,2009-01-28,2 days
12,Cold wave,Germany,Western Europe,Europe,"Bayern, Berlin, Hamburg provinces, Leipzig district (Sachsen province), Hanover city (no Admin 2, Niedersachsen province), Gruenow city (no admin 2, Brandenburg province)",-33.6,°C,2009,12,14.0,2009-12-18,2010-01-25,38 days
13,Cold wave,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Penzance area (Cornwall district, England province), Cumbria, Greater London, Greater Manchest, Kent districts (England province), Strathclyde, Lothian, Grampian districts (Scotland province)",,°C,2009,12,3.0,2009-12-19,2009-12-23,4 days
14,Cold wave,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",-35.0,°C,2009,11,298.0,2009-11-01,2010-01-26,86 days
15,Cold wave,Romania,Eastern Europe,Europe,"Alba, Arad, Arges, Bacau, Bihor, Bistrita-nasaud, Botosani, Braila, Brasov, Bucuresti, Buzau, Calarasi, Caras-severin, Cluj, Constanta, Covasna, Dimbovita, Dolj, Galati, Giurgiu, Gorj, Harghita, Hunedoara, Ialomita, Iasi, Maramures, Mehedinti, Mures, Neamt, Olt, Prahova, Salaj, Satu Mare, Sibiu, Suceava, Teleorman, Timis, Tulcea, Vaslui, Vilcea, Vrancea provinces",-20.0,°C,2009,12,11.0,2009-12-20,2009-12-23,3 days
16,Cold wave,Bangladesh,Southern Asia,Asia,"Rajbari, Manikganj, Tangail, Sherpur districts (Dhaka province), Damurhuda, Sadar, Jiban Naga (Chuadanga district, Khulna province), Jessore, Bagerhat, Khulna, Meherpur, Satkhira districts (Khulna province), Sadar, Sripur (Magura district, Khulna province), Naogaon, Pabna, Bogra, Sirajganj districts (Rajshahi province), Biral, Fulbari (Dinajpur district, Rangpur province), Fulchari, Sundarganj, Saghata, Gabindaganj, Sadullapu (Gaibandha district, Rangpur province), Tentulia, Debiganj, Atwari (Panchagarh district, Rangpur province), Baliadangi, Haripur, Ranisenkail (Thakurgaon district, Rangpur province), Dimla, Jaldhaka (Nilphamari district, Rangpur province), Hatibandha, Patgram, Aditmari (Lalmonirhat district, Rangpur province), Roumari, Chilmari, Ulipur (Kurigram district, Rangpur province), Gangachara, Pirganj (Rangpur district, Rangpur province)",-6.0,°C,2009,12,135.0,2009-12-15,2010-01-31,47 days
17,Cold wave,India,Southern Asia,Asia,"Srinagar city ('72808' district, '40424' Jammu and Kashmir province), Uttar Pradesh, Himachal Pradesh, Delhi, Bihar provinces",-9.0,°C,2010,1,100.0,2010-01-02,2010-01-13,11 days
18,Cold wave,Romania,Eastern Europe,Europe,"Bucuresti, Alba, Arges, Bacau, Bistrita-nasaud, Satu Mare, Prahova, Botosani provinces",-34.0,°C,2010,1,52.0,2010-01-22,2010-01-26,4 days
19,Cold wave,Russian Federation,Eastern Europe,Europe,"Moskva, Moskovskaya Oblast, Sankt-peterburg, Leningradskaya Oblast, Orlovskaya Oblast, Chuvashiya Rep. provinces",-30.0,°C,2010,1,13.0,2010-01-01,2010-01-26,25 days
20,Cold wave,Germany,Western Europe,Europe,"Querfurt area (Sachsen-Anhalt province), Frankfurt airport (Darmstadt district, Hessen province)",,°C,2010,11,1.0,2010-11-28,2010-12-01,3 days
