,month,max_extreme,min_extreme
1,1,-12.05410705666056,-38.54663174773832
2,2,-16.026839141988994,-45.28247852540373
3,3,-21.644339624044175,-53.11364934729883
4,4,-25.139895867542734,-57.61605922420216
5,5,-30.637526341142003,-57.92726410793508
6,6,-29.694284520319858,-56.84280897808821
7,7,-22.2152608174129,-59.32887035836641
8,8,-25.831879990732226,-59.41830840371037
9,9,-27.489042669989864,-54.231752386973554
10,10,-21.313833360561013,-51.58625292556392
11,11,-15.895346157805328,-46.82291953688345
12,12,-14.37322309862569,-35.165044927027736
