,month,max_mean,max_std,max_extreme,min_mean,min_std,min_extreme
1,1,-20.714315591397824,2.3709480082144645,-14.786945570861663,-23.297891666666644,2.3526634136325826,-29.1795502007481
2,2,-25.50330288235292,4.167495904849552,-15.084563120229038,-28.458943999999974,4.14257385353576,-38.81537863383937
3,3,-33.21956811827955,4.257327009680846,-22.57625059407743,-36.68021494623653,4.319399003348355,-47.47871245460742
4,4,-35.59743294444443,4.269068696153646,-24.924761204060314,-39.47116594444442,4.143140057118136,-49.829016087239765
5,5,-35.421769784946214,4.672435609985954,-23.74068075998133,-39.42492392473116,4.563479641417923,-50.833623028275966
6,6,-35.640006999999976,4.5191666132861394,-24.342090466784626,-39.77026377777776,3.957028613634615,-49.66283531186429
7,7,-38.05550235632181,4.7234378658220635,-26.24690769176665,-42.38775114942526,4.236523336233188,-52.97905949000823
8,8,-39.46879051612901,5.946008903207412,-24.60376825811048,-43.7294776129032,5.607643271112157,-57.74858579068359
9,9,-37.741475266666654,4.167330315835806,-27.323149477077138,-41.64202059999998,3.8311476834274054,-51.219889808568496
10,10,-33.57595922580643,3.60993123128415,-24.551131147596053,-36.88377651612901,3.5612792134256193,-45.786974549693056
11,11,-26.78526313333331,3.6740414173464844,-17.6001595899671,-29.634478733333307,3.5804964774894685,-38.58571992705698
12,12,-20.054427032258044,2.7749567752702755,-13.117035094082354,-22.551004580645138,2.8208049978460115,-29.603017075260166
