,month,max_extreme,min_extreme
1,1,-21.248884591014473,-39.43356305298106
2,2,-25.807992107711005,-50.518637550808336
3,3,-33.282490417572,-59.16046429413995
4,4,-34.02057147990188,-64.82062310337345
5,5,-35.487199302518434,-64.15942658953152
6,6,-35.22262918822413,-65.73677544100224
7,7,-35.77815256205829,-67.59566987449625
8,8,-36.12259926565662,-69.62186879657354
9,9,-37.2883145195937,-66.55144961741624
10,10,-34.43925929234161,-61.74543204065613
11,11,-21.384196279257306,-50.393460937135636
12,12,-19.941588916646722,-38.33044545504546
