,month,max_extreme,min_extreme
1,1,2.904784175443261,-53.70596331285558
2,2,7.8681819907352875,-49.074396157630105
3,3,6.563372338088669,-46.29890007474435
4,4,8.466867671094443,-33.46853092061613
5,5,12.046267265920758,-16.284996725241736
6,6,25.551507355610816,-7.549555487439196
7,7,27.25885137685949,-0.07388187684596303
8,8,26.592988816017613,0.8969469581195515
9,9,17.759181930890882,-7.304652660657354
10,10,12.156915521594188,-22.871908205905047
11,11,10.345270187303694,-42.543832826622626
12,12,7.640740392357074,-50.01099081168861
