,date,temp_max,temp_min,latitude,longitude,is_above_max_extreme,is_below_min_extreme,is_heat_wave,is_cold_wave
477,2021-04-22,-53.10119999999998,-57.03332999999998,-81.99999999999878,-179.90000000000595,False,True,False,True
478,2021-04-23,-54.319709999999986,-58.40722999999997,-81.99999999999878,-179.90000000000595,False,True,False,True
479,2021-04-24,-50.48362999999998,-55.09025999999997,-81.99999999999878,-179.90000000000595,False,True,False,True
480,2021-04-25,-50.59266999999997,-55.53198999999998,-81.99999999999878,-179.90000000000595,False,True,False,True
481,2021-04-26,-45.738729999999975,-56.80806999999999,-81.99999999999878,-179.90000000000595,False,True,False,True
747,2022-01-17,-1.0843299999999658,-3.077919999999949,-81.99999999999878,-179.90000000000595,True,False,True,False
748,2022-01-18,-1.378819999999962,-7.586599999999976,-81.99999999999878,-179.90000000000595,True,False,True,False
908,2022-06-27,-52.332449999999966,-54.92314999999997,-81.99999999999878,-179.90000000000595,False,True,False,True
909,2022-06-28,-51.92286999999999,-55.18259999999998,-81.99999999999878,-179.90000000000595,False,True,False,True
1856,2025-01-30,-12.78897999999998,-17.101599999999962,-81.99999999999878,-179.90000000000595,False,True,False,True
1857,2025-01-31,-14.998819999999968,-17.56138999999999,-81.99999999999878,-179.90000000000595,False,True,False,True
