,date,temp_max,temp_min,latitude,longitude,is_above_max_extreme,is_below_min_extreme,is_heat_wave,is_cold_wave
92,2020-04-02,-10.049229999999966,-19.282519999999977,60.00000000000142,-130.00000000000875,False,True,False,True
93,2020-04-03,-8.155679999999961,-22.46509999999998,60.00000000000142,-130.00000000000875,False,True,False,True
94,2020-04-04,-4.589879999999994,-18.73321999999999,60.00000000000142,-130.00000000000875,False,True,False,True
296,2020-10-23,-8.547579999999982,-17.959449999999975,60.00000000000142,-130.00000000000875,False,True,False,True
297,2020-10-24,-5.917879999999968,-17.31419999999997,60.00000000000142,-130.00000000000875,False,True,False,True
544,2021-06-28,27.13214000000005,11.447100000000034,60.00000000000142,-130.00000000000875,True,False,True,False
545,2021-06-29,26.99368000000004,12.266260000000043,60.00000000000142,-130.00000000000875,True,False,True,False
546,2021-06-30,25.543240000000026,12.73240000000004,60.00000000000142,-130.00000000000875,True,False,True,False
578,2021-08-01,26.80830000000003,11.578030000000012,60.00000000000142,-130.00000000000875,True,False,True,False
579,2021-08-02,27.188440000000018,12.849180000000048,60.00000000000142,-130.00000000000875,True,False,True,False
1084,2022-12-20,-38.66755999999998,-44.16129999999998,60.00000000000142,-130.00000000000875,False,True,False,True
1085,2022-12-21,-35.661599999999964,-45.76738999999998,60.00000000000142,-130.00000000000875,False,True,False,True
1231,2023-05-16,19.15206000000001,3.00305000000003,60.00000000000142,-130.00000000000875,True,False,True,False
1232,2023-05-17,22.4581,1.1038500000000226,60.00000000000142,-130.00000000000875,True,False,True,False
1233,2023-05-18,22.760700000000043,4.4614500000000135,60.00000000000142,-130.00000000000875,True,False,True,False
1234,2023-05-19,22.793499999999995,4.866240000000005,60.00000000000142,-130.00000000000875,True,False,True,False
1754,2024-10-20,-7.480199999999968,-17.555939999999964,60.00000000000142,-130.00000000000875,False,True,False,True
1755,2024-10-21,-5.547159999999963,-17.77772999999999,60.00000000000142,-130.00000000000875,False,True,False,True
