,Country,ISO,Year,Population,Magnitude,Total_Heat_Deaths,Percentage_Heat_Deaths,Total_Cold_Deaths,Percentage_Cold_Deaths,Total_Deaths
0,Afghanistan,AFG,2001,20284307.0,-25.0,0.0,0.0,150.0,0.06186255789304376,242473.0
1,Afghanistan,AFG,2012,30560034.0,-18.0,0.0,0.0,0.0,0.0,239042.0
2,Afghanistan,AFG,2023,41454761.0,-33.0,0.0,0.0,166.0,0.0690814661916969,240296.0
3,Albania,ALB,2004,3026939.0,38.0,3.0,0.016737335416201742,0.0,0.0,17924.0
4,Algeria,DZA,2003,32175818.0,47.0,40.0,0.02550321021658601,0.0,0.0,156843.0
5,Argentina,ARG,2000,37213984.0,0.0,0.0,0.0,15.0,0.0053248514366449175,281698.0
6,Argentina,ARG,2001,37624825.0,-28.0,0.0,0.0,14.0,0.004963817317340386,282041.0
7,Argentina,ARG,2004,38815916.0,-11.0,0.0,0.0,5.0,0.0017113968763584212,292159.0
8,Argentina,ARG,2007,40016763.0,-3.8,0.0,0.0,0.0,0.0,316077.0
9,Armenia,ARM,2013,3022000.0,-20.0,0.0,0.0,0.0,0.0,28674.0
10,Australia,AUS,2009,21691653.0,48.8,347.0,0.24376194222771722,0.0,0.0,142352.0
11,Australia,AUS,2014,23475686.0,52.0,139.0,0.08959707101373607,0.0,0.0,155139.0
12,Australia,AUS,2018,24963258.0,49.3,0.0,0.0,0.0,0.0,160788.0
13,Austria,AUT,2005,8227829.0,-35.0,0.0,0.0,0.0,0.0,75442.0
14,Austria,AUT,2007,8295487.0,39.0,5.0,0.0066916488222698075,0.0,0.0,74720.0
15,Austria,AUT,2022,9041851.0,36.3,419.0,0.43376537330738335,0.0,0.0,96596.0
16,Azerbaijan,AZE,2012,9295784.0,-11.0,0.0,0.0,5.0,0.0076463121836338336,65391.0
17,Bangladesh,BGD,2000,134544304.0,6.4,0.0,0.0,49.0,0.0044007562115775814,1113445.0
18,Bangladesh,BGD,2001,136805810.0,7.0,0.0,0.0,6.0,0.0005527498383206723,1085482.0
19,Bangladesh,BGD,2002,138933658.0,3.0,0.0,0.0,700.0,0.0663148820068778,1055570.0
20,Bangladesh,BGD,2003,140970351.0,40.0,62.0,0.006023546236546604,0.0,0.0,1029294.0
21,Bangladesh,BGD,2005,144715786.0,8.0,0.0,0.0,0.0,0.0,987574.0
22,Bangladesh,BGD,2007,147989278.0,5.0,0.0,0.0,0.0,0.0,963370.0
23,Bangladesh,BGD,2009,150873714.0,-6.0,0.0,0.0,135.0,0.014477351524036158,932491.0
24,Bangladesh,BGD,2011,153591076.0,4.5,0.0,0.0,50.0,0.005490077234406534,910734.0
25,Bangladesh,BGD,2011,153591076.0,9.0,0.0,0.0,12.0,0.001317618536257568,910734.0
26,Bangladesh,BGD,2012,155070101.0,7.5,0.0,0.0,72.0,0.007941322450780346,906650.0
27,Bangladesh,BGD,2018,163523103.0,2.6,0.0,0.0,34.0,0.003820821454137219,889861.0
28,Bangladesh,BGD,2019,164913055.0,7.9,0.0,0.0,50.0,0.005644181751683095,885868.0
29,Belarus,BLR,2013,9443211.0,-25.0,0.0,0.0,0.0,0.0,124090.0
30,Belarus,BLR,2014,9448515.0,-35.0,0.0,0.0,0.0,0.0,121844.0
31,Belarus,BLR,2017,9458989.0,-31.0,0.0,0.0,0.0,0.0,119098.0
32,Belgium,BEL,2009,10796493.0,-20.0,0.0,0.0,1.0,0.0009564069702939995,104558.0
33,Belgium,BEL,2019,11488980.0,35.0,316.0,0.28996412152800083,0.0,0.0,108979.0
34,Belgium,BEL,2019,11488980.0,40.6,400.0,0.367043191807596,0.0,0.0,108979.0
35,Belgium,BEL,2022,11680210.0,40.0,434.0,0.36217673223122565,0.0,0.0,119831.0
36,Bolivia (Plurinational State of),BOL,2000,8606326.0,-9.0,0.0,0.0,6.0,0.007154525833800365,83863.0
37,Bolivia (Plurinational State of),BOL,2010,10182345.0,4.0,0.0,0.0,4.0,0.004888362032092097,81827.0
38,Bosnia and Herzegovina,BIH,2009,3879794.0,-25.0,0.0,0.0,0.0,0.0,37217.0
