DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0003-BGD,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,"Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet provinces",,,No,No,No,,6.4,°C,,,,2000,1,,2000,1,,49,,,,,,,,,,,54.89515197,"[{""adm1_code"":575,""adm1_name"":""Barisal""},{""adm1_code"":576,""adm1_name"":""Chittagong""},{""adm1_code"":577,""adm1_name"":""Dhaka""},{""adm1_code"":578,""adm1_name"":""Khulna""},{""adm1_code"":580,""adm1_name"":""Sylhet""},{""adm1_code"":61362,""adm1_name"":""Rajshahi""},{""adm1_code"":61363,""adm1_name"":""Rangpur""}]",2003-07-01,2023-09-25
2000-0020-IND,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,IND,India,Southern Asia,Asia,"Bihar, Uttar Pradesh, West Bengal provinces",,,No,No,No,,,°C,,,,2000,1,,2000,1,,275,,,,,,,,,,,54.89515197,"[{""adm1_code"":1511,""adm1_name"":""West Bengal""},{""adm1_code"":70073,""adm1_name"":""Bihar""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""}]",2003-07-01,2023-09-25
2000-0029-BGR,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGR,Bulgaria,Eastern Europe,Europe,"Sofia province, Sofia-city province",,,No,No,No,,,°C,,,,2000,1,,2000,1,,,,,,,,,,,,,54.89515197,"[{""adm1_code"":722,""adm1_name"":""Sofia""},{""adm1_code"":723,""adm1_name"":""Sofia-city""}]",2003-07-01,2023-09-25
2000-0092-EGY,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,EGY,Egypt,Northern Africa,Africa,"Kalyoubia, Shrkia, Fayoum province",,,No,No,No,,2,°C,,,,2000,1,,2000,1,,3,105,,,105,,,,,,,54.89515197,"[{""adm1_code"":61518,""adm1_name"":""Fayoum""},{""adm1_code"":61523,""adm1_name"":""Kalyoubia""},{""adm1_code"":61533,""adm1_name"":""Shrkia""}]",2003-07-01,2023-09-25
2000-0165-RUS,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,RUS,Russian Federation,Eastern Europe,Europe,Moskva province,,,No,No,No,,,°C,,,,2000,2,,2000,2,,13,252,,,252,,,,,,,54.89515197,"[{""adm1_code"":2535,""adm1_name"":""Moskva""}]",2003-07-01,2023-09-25
2000-0269-BLR,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BLR,Belarus,Eastern Europe,Europe,"Brest, Gomel, Grodno, Minsk, Minsk City, Mogilev, Vitebsk provinces",,,No,No,No,,,°C,,,,2000,5,,2000,5,,,,,,,,,,,30300,55196,54.89515197,"[{""adm1_code"":593,""adm1_name"":""Brest""},{""adm1_code"":594,""adm1_name"":""Gomel""},{""adm1_code"":595,""adm1_name"":""Grodno""},{""adm1_code"":596,""adm1_name"":""Minsk""},{""adm1_code"":597,""adm1_name"":""Minsk City""},{""adm1_code"":598,""adm1_name"":""Mogilev""},{""adm1_code"":599,""adm1_name"":""Vitebsk""}]",2003-07-01,2023-09-25
2000-0324-HRV,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,HRV,Croatia,Southern Europe,Europe,"Zagreb city (Zagreb province), Split city (Split-dalmatija province), Osijek city (Osijek-baranja province), Rijeka city (Primorje-gorski Kota province)",,,No,No,No,,35,°C,,,,2000,6,,2000,6,,40,200,,,200,,,,,240000,437197,54.89515197,"[{""adm1_code"":997,""adm1_name"":""Osijek-baranja""},{""adm1_code"":999,""adm1_name"":""Primorje-gorski Kota""},{""adm1_code"":1003,""adm1_name"":""Split-dalmatija""},{""adm1_code"":1008,""adm1_name"":""Zagreb""}]",2003-07-01,2023-09-25
2000-0337-UKR,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,UKR,Ukraine,Eastern Europe,Europe,"Cherkas'ka, Chernihivs'ka, Chernivets'ka, Dnipropetrovs'ka, Donets'ka, Ivano-rankivs'ka, Kharkivs'ka, Khersons'ka, Khmel'nyts'ka, Kirovohrads'ka, Krym, Kyyivs'ka, L'vivs'ka, Luhans'ka, Mykolayivs'ka, Odes'ka, Poltavs'ka, Rivnens'ka, Sums'ka, Ternopil's'ka, Vinnyts'ka, Volyns'ka, Zakarpats'ka, Zaporiz'ka, Zhytomyrs'ka provinces",,,No,No,No,,,°C,,,,2000,5,1,2000,5,11,,,,,,,,,,85000,154841,54.89515197,"[{""adm1_code"":3148,""adm1_name"":""Cherkas'ka""},{""adm1_code"":3149,""adm1_name"":""Chernihivs'ka""},{""adm1_code"":3150,""adm1_name"":""Chernivets'ka""},{""adm1_code"":3151,""adm1_name"":""Dnipropetrovs'ka""},{""adm1_code"":3152,""adm1_name"":""Donets'ka""},{""adm1_code"":3153,""adm1_name"":""Ivano-frankivs'ka""},{""adm1_code"":3154,""adm1_name"":""Kharkivs'ka""},{""adm1_code"":3155,""adm1_name"":""Khersons'ka""},{""adm1_code"":3156,""adm1_name"":""Khmel'nyts'ka""},{""adm1_code"":3157,""adm1_name"":""Kirovohrads'ka""},{""adm1_code"":3158,""adm1_name"":""Krym""},{""adm1_code"":3159,""adm1_name"":""Kyyivs'ka""},{""adm1_code"":3160,""adm1_name"":""L'vivs'ka""},{""adm1_code"":3161,""adm1_name"":""Luhans'ka""},{""adm1_code"":3162,""adm1_name"":""Mykolayivs'ka""},{""adm1_code"":3163,""adm1_name"":""Odes'ka""},{""adm1_code"":3164,""adm1_name"":""Poltavs'ka""},{""adm1_code"":3165,""adm1_name"":""Rivnens'ka""},{""adm1_code"":3166,""adm1_name"":""Sums'ka""},{""adm1_code"":3167,""adm1_name"":""Ternopil's'ka""},{""adm1_code"":3168,""adm1_name"":""Vinnyts'ka""},{""adm1_code"":3169,""adm1_name"":""Volyns'ka""},{""adm1_code"":3170,""adm1_name"":""Zakarpats'ka""},{""adm1_code"":3171,""adm1_name"":""Zaporiz'ka""},{""adm1_code"":3172,""adm1_name"":""Zhytomyrs'ka""}]",2005-12-05,2023-09-25
2000-0351-PAK,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,PAK,Pakistan,Southern Asia,Asia,Punjab province,,,No,No,No,,46,°C,,,,2000,6,,2000,6,,24,,,,,,,,,,,54.89515197,"[{""adm1_code"":2276,""adm1_name"":""Punjab""}]",2003-07-01,2023-09-25
2000-0379-GRC,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,GRC,Greece,Southern Europe,Europe,"Anatoliki Makedonia Kai Thraki, Attiki, Dytiki Ellada, Dytiki Makedonia, Ionioi Nisoi, Ipeiros, Kentriki Makedonia, Kriti, Peloponnisos, Sterea Ellada, Thessalia, Voreio Aigaio, Notio Aigaio provinces",,,No,No,No,,44.4,°C,,,,2000,7,,2000,7,,27,176,,,176,,,,,3000,5465,54.89515197,"[{""adm1_code"":1336,""adm1_name"":""Anatoliki Makedonia Kai Thraki""},{""adm1_code"":1337,""adm1_name"":""Attiki""},{""adm1_code"":1338,""adm1_name"":""Dytiki Ellada""},{""adm1_code"":1339,""adm1_name"":""Dytiki Makedonia""},{""adm1_code"":1340,""adm1_name"":""Ionioi Nisoi""},{""adm1_code"":1341,""adm1_name"":""Ipeiros""},{""adm1_code"":1342,""adm1_name"":""Kentriki Makedonia""},{""adm1_code"":1343,""adm1_name"":""Kriti""},{""adm1_code"":1345,""adm1_name"":""Peloponnisos""},{""adm1_code"":1346,""adm1_name"":""Sterea Ellada""},{""adm1_code"":1347,""adm1_name"":""Thessalia""},{""adm1_code"":1348,""adm1_name"":""Voreio Aigaio""},{""adm1_code"":40766,""adm1_name"":""Notio Aigaio""}]",2003-07-01,2023-09-25
2000-0380-ROU,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,ROU,Romania,Eastern Europe,Europe,"Bucuresti, Dolj provinces",,,No,No,No,,43,°C,,,,2000,7,,2000,7,,6,100,,,100,,,,,,,54.89515197,"[{""adm1_code"":2455,""adm1_name"":""Bucuresti""},{""adm1_code"":2463,""adm1_name"":""Dolj""}]",2003-07-01,2023-09-25
2000-0381-TUR,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,TUR,Türkiye,Western Asia,Asia,"Adana, Adiyaman, Afyon, Agri, Aksaray, Amasya, Ankara, Antalya, Ardahan, Artvin, Aydin, Balikesir, Bartin, Batman, Bayburt, Bilecik, Bingol, Bitlis, Bolu, Burdur, Bursa, Canakkale, Cankiri, Corum, Denizli, Diyarbakir, Edirne, Elazig, Erzincan, Erzurum, Eskisehir, Gaziantep, Giresun, Gumushane, Hakkari, Hatay, Icel, Igdir, Isparta, Istanbul, Izmir, K.maras, Karabuk, Karaman, Kars, Kastamonu, Kayseri, Kilis, Kirikkale, Kirklareli, Kirsehir, Kocaeli, Konya, Kutahya, Malatya, Manisa, Mardin, Mugla, Mus, Nevsehir, Nigde, Ordu, Osmaniye, Rize, Sakarya, Samsun, Sanliurfa, Siirt, Sinop, Sirnak, Sivas, Tekirdag, Tokat, Trabzon, Tunceli, Usak, Van, Yalova, Yozgat, Zonguldak provinces",,Drought,No,No,No,,46,°C,,,,2000,6,,2000,7,,11,300,,,300,,,,,1000,1822,54.89515197,"[{""adm1_code"":3017,""adm1_name"":""Adana""},{""adm1_code"":3018,""adm1_name"":""Adiyaman""},{""adm1_code"":3019,""adm1_name"":""Afyon""},{""adm1_code"":3020,""adm1_name"":""Agri""},{""adm1_code"":3021,""adm1_name"":""Aksaray""},{""adm1_code"":3022,""adm1_name"":""Amasya""},{""adm1_code"":3023,""adm1_name"":""Ankara""},{""adm1_code"":3024,""adm1_name"":""Antalya""},{""adm1_code"":3025,""adm1_name"":""Ardahan""},{""adm1_code"":3026,""adm1_name"":""Artvin""},{""adm1_code"":3027,""adm1_name"":""Aydin""},{""adm1_code"":3028,""adm1_name"":""Balikesir""},{""adm1_code"":3029,""adm1_name"":""Bartin""},{""adm1_code"":3030,""adm1_name"":""Batman""},{""adm1_code"":3031,""adm1_name"":""Bayburt""},{""adm1_code"":3032,""adm1_name"":""Bilecik""},{""adm1_code"":3033,""adm1_name"":""Bingol""},{""adm1_code"":3034,""adm1_name"":""Bitlis""},{""adm1_code"":3035,""adm1_name"":""Bolu""},{""adm1_code"":3036,""adm1_name"":""Burdur""},{""adm1_code"":3037,""adm1_name"":""Bursa""},{""adm1_code"":3038,""adm1_name"":""Canakkale""},{""adm1_code"":3039,""adm1_name"":""Cankiri""},{""adm1_code"":3040,""adm1_name"":""Corum""},{""adm1_code"":3041,""adm1_name"":""Denizli""},{""adm1_code"":3042,""adm1_name"":""Diyarbakir""},{""adm1_code"":3043,""adm1_name"":""Edirne""},{""adm1_code"":3044,""adm1_name"":""Elazig""},{""adm1_code"":3045,""adm1_name"":""Erzincan""},{""adm1_code"":3046,""adm1_name"":""Erzurum""},{""adm1_code"":3047,""adm1_name"":""Eskisehir""},{""adm1_code"":3048,""adm1_name"":""Gaziantep""},{""adm1_code"":3049,""adm1_name"":""Giresun""},{""adm1_code"":3050,""adm1_name"":""Gumushane""},{""adm1_code"":3051,""adm1_name"":""Hakkari""},{""adm1_code"":3052,""adm1_name"":""Hatay""},{""adm1_code"":3053,""adm1_name"":""Icel""},{""adm1_code"":3054,""adm1_name"":""Igdir""},{""adm1_code"":3055,""adm1_name"":""Isparta""},{""adm1_code"":3056,""adm1_name"":""Istanbul""},{""adm1_code"":3057,""adm1_name"":""Izmir""},{""adm1_code"":3058,""adm1_name"":""K.maras""},{""adm1_code"":3059,""adm1_name"":""Karabuk""},{""adm1_code"":3060,""adm1_name"":""Karaman""},{""adm1_code"":3061,""adm1_name"":""Kars""},{""adm1_code"":3062,""adm1_name"":""Kastamonu""},{""adm1_code"":3063,""adm1_name"":""Kayseri""},{""adm1_code"":3064,""adm1_name"":""Kilis""},{""adm1_code"":3065,""adm1_name"":""Kirikkale""},{""adm1_code"":3066,""adm1_name"":""Kirklareli""},{""adm1_code"":3067,""adm1_name"":""Kirsehir""},{""adm1_code"":3068,""adm1_name"":""Kocaeli""},{""adm1_code"":3069,""adm1_name"":""Konya""},{""adm1_code"":3070,""adm1_name"":""Kutahya""},{""adm1_code"":3071,""adm1_name"":""Malatya""},{""adm1_code"":3072,""adm1_name"":""Manisa""},{""adm1_code"":3073,""adm1_name"":""Mardin""},{""adm1_code"":3074,""adm1_name"":""Mugla""},{""adm1_code"":3075,""adm1_name"":""Mus""},{""adm1_code"":3076,""adm1_name"":""Nevsehir""},{""adm1_code"":3077,""adm1_name"":""Nigde""},{""adm1_code"":3078,""adm1_name"":""Ordu""},{""adm1_code"":3079,""adm1_name"":""Osmaniye""},{""adm1_code"":3080,""adm1_name"":""Rize""},{""adm1_code"":3081,""adm1_name"":""Sakarya""},{""adm1_code"":3082,""adm1_name"":""Samsun""},{""adm1_code"":3083,""adm1_name"":""Sanliurfa""},{""adm1_code"":3084,""adm1_name"":""Siirt""},{""adm1_code"":3085,""adm1_name"":""Sinop""},{""adm1_code"":3086,""adm1_name"":""Sirnak""},{""adm1_code"":3087,""adm1_name"":""Sivas""},{""adm1_code"":3088,""adm1_name"":""Tekirdag""},{""adm1_code"":3089,""adm1_name"":""Tokat""},{""adm1_code"":3090,""adm1_name"":""Trabzon""},{""adm1_code"":3091,""adm1_name"":""Tunceli""},{""adm1_code"":3092,""adm1_name"":""Usak""},{""adm1_code"":3093,""adm1_name"":""Van""},{""adm1_code"":3094,""adm1_name"":""Yalova""},{""adm1_code"":3095,""adm1_name"":""Yozgat""},{""adm1_code"":3096,""adm1_name"":""Zonguldak""}]",2006-03-08,2023-09-25
2000-0382-BGR,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,BGR,Bulgaria,Eastern Europe,Europe,"Sofia, Sofia-city, Stata Zagora, Blagoevgrad, Vidin provinces",,,No,No,No,,43.1,°C,,,,2000,6,,2000,7,,7,,,,,,,,,50,91,54.89515197,"[{""adm1_code"":702,""adm1_name"":""Blagoevgrad""},{""adm1_code"":722,""adm1_name"":""Sofia""},{""adm1_code"":723,""adm1_name"":""Sofia-city""},{""adm1_code"":724,""adm1_name"":""Stara Zagora""},{""adm1_code"":728,""adm1_name"":""Vidin""}]",2005-12-05,2023-09-25
2000-0383-SCG,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,SCG,Serbia Montenegro,Southern Europe,Europe,"Subotica city (Severno-backi province), Belgrade city (Grad Beograd province), Leskovac city (Jablanicki province) (Serbia)",,,No,No,No,,42,°C,,,,2000,7,,2000,7,,3,70,,,70,,,,,,,54.89515197,"[{""adm1_code"":25373,""adm1_name"":""Grad Beograd""},{""adm1_code"":25374,""adm1_name"":""Jablanicki""},{""adm1_code"":25392,""adm1_name"":""Severno-backi""}]",2003-07-01,2023-09-25
2000-0398-CYP,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,CYP,Cyprus,Western Asia,Asia,Nicosia province,,,No,No,No,,43,°C,,,,2000,7,,2000,7,,5,400,,,400,,,,,,,54.89515197,"[{""adm1_code"":1028,""adm1_name"":""Nicosia""}]",2003-07-01,2023-09-25
2000-0416-BOL,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Cochabamba, Santa Cruz, La Paz provinces",,,No,No,No,,-9,°C,,,,2000,7,,2000,7,,6,,25277,,25277,,,,,,,54.89515197,"[{""adm1_code"":40445,""adm1_name"":""Cochabamba""},{""adm1_code"":40446,""adm1_name"":""La Paz""},{""adm1_code"":40449,""adm1_name"":""Santa Cruz""}]",2003-07-01,2023-09-25
2000-0421-ARG,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,ARG,Argentina,Latin America and the Caribbean,Americas,"Buenos Aires, Sante Fe, Formosa, Santa Cruz provinces",,,No,No,No,,0,°C,,,,2000,6,17,2000,6,17,15,,300,,300,,,,,,,54.89515197,"[{""adm1_code"":429,""adm1_name"":""Buenos Aires""},{""adm1_code"":437,""adm1_name"":""Formosa""},{""adm1_code"":448,""adm1_name"":""Santa Cruz""},{""adm1_code"":449,""adm1_name"":""Santa Fe""}]",2003-07-01,2023-09-25
2000-0422-URY,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,URY,Uruguay,Latin America and the Caribbean,Americas,"Paysandu, Maldonado provinces",,,No,No,No,,-7.5,°C,,,,2000,7,,2000,7,,7,,400,,400,,,,,,,54.89515197,"[{""adm1_code"":3273,""adm1_name"":""Maldonado""},{""adm1_code"":3275,""adm1_name"":""Paysandu""}]",2003-07-01,2023-09-25
