,Start Year,End Year,Disaster Subtype,Country,Total Deaths,Year,Population
0,2020,2020,Cold wave,State of Palestine,3.0,2020,
1,2020,2020,Heat wave,Belgium,1687.0,2020,11538604.0
2,2020,2020,Heat wave,France,1924.0,2020,67601110.0
3,2020,2020,Heat wave,United Kingdom of Great Britain and Northern Ireland,2556.0,2020,
4,2020,2020,Heat wave,Netherlands (Kingdom of the),400.0,2020,
5,2021,2021,Heat wave,Canada,815.0,2021,38239864.0
6,2021,2021,Heat wave,United States of America,229.0,2021,
7,2021,2021,Cold wave,France,,2021,67842811.0
8,2022,2022,Severe winter conditions,State of Palestine,4.0,2022,
9,2022,2022,Heat wave,India,25.0,2022,1425423212.0
10,2022,2022,Heat wave,Pakistan,,2022,243700667.0
11,2022,2022,Heat wave,Japan,80.0,2022,125124989.0
12,2022,2022,Heat wave,Republic of Korea,2.0,2022,
13,2022,2022,Heat wave,Albania,352.0,2022,2777689.0
14,2022,2022,Heat wave,Austria,419.0,2022,9041851.0
15,2022,2022,Heat wave,Belgium,434.0,2022,11680210.0
16,2022,2022,Heat wave,Bulgaria,1277.0,2022,6465097.0
17,2022,2022,Heat wave,Switzerland,302.0,2022,8777088.0
18,2022,2022,Heat wave,Cyprus,101.0,2022,1331370.0
19,2022,2022,Heat wave,Czechia,279.0,2022,10672118.0
20,2022,2022,Heat wave,Germany,8173.0,2022,83797985.0
21,2022,2022,Heat wave,Denmark,252.0,2022,5903037.0
22,2022,2022,Heat wave,Spain,11324.0,2022,47786102.0
23,2022,2022,Heat wave,Estonia,167.0,2022,1348840.0
24,2022,2022,Heat wave,Finland,225.0,2022,5556106.0
25,2022,2022,Heat wave,France,4807.0,2022,68065015.0
26,2022,2022,Heat wave,United Kingdom of Great Britain and Northern Ireland,3469.0,2022,
27,2022,2022,Heat wave,Greece,3092.0,2022,10436882.0
28,2022,2022,Heat wave,Croatia,731.0,2022,3855641.0
29,2022,2022,Heat wave,Hungary,513.0,2022,9605074.0
30,2022,2022,Heat wave,Ireland,26.0,2022,5212836.0
31,2022,2022,Heat wave,Italy,18010.0,2022,59013667.0
32,2022,2022,Heat wave,Lithuania,381.0,2022,2831639.0
33,2022,2022,Heat wave,Luxembourg,44.0,2022,653103.0
34,2022,2022,Heat wave,Latvia,105.0,2022,1879383.0
35,2022,2022,Heat wave,Malta,76.0,2022,531113.0
