,latitude,longitude,temp_data_present
0,-40,100,no
1,-30,160,no
2,50,-10,no
3,40,-50,no
4,-40,-20,no
5,-10,-80,no
6,10,160,no
7,-60,-10,no
8,-10,60,no
9,20,70,no
10,-20,-40,no
11,80,80,no
12,80,60,no
13,-70,-130,no
14,-50,-30,no
15,-50,100,no
16,20,-20,no
17,-61,-180,no
18,-40,70,no
19,0,0,no
20,30,170,no
21,30,-120,no
22,-50,120,no
23,-50,-40,no
24,-27,-180,no
25,10,-80,no
26,10,-40,no
27,70,-170,no
28,-16,-180,no
29,-21,-180,no
30,80,150,no
31,-30,-160,no
32,40,-70,no
33,-30,-80,no
34,40,150,no
35,50,-30,no
36,-20,90,no
37,-70,-180,no
38,80,-70,no
39,-40,170,no
40,80,-110,no
41,80,90,no
42,-32,-180,no
43,-30,50,no
44,50,-150,no
45,-60,80,no
46,-30,80,no
47,40,180,no
48,-60,-110,no
49,-40,-10,no
50,80,180,no
51,40,-140,no
52,-10,40,no
53,50,-50,no
54,80,170,no
55,70,-100,no
56,-68,-180,no
57,10,140,no
58,-70,-120,no
59,-73,-180,no
60,-60,-80,no
61,10,-160,no
62,-49,-180,no
63,10,-90,no
64,-10,-100,no
65,-65,-180,no
66,-40,60,no
67,30,160,no
68,-50,60,no
69,-50,160,no
70,20,-130,no
71,-51,-180,no
72,-30,-100,no
73,-40,-100,no
74,-40,-60,no
75,0,-90,no
76,-20,-30,no
77,-30,-40,no
78,10,80,no
79,-14,-180,no
80,-47,-180,no
81,20,-150,no
82,70,160,no
83,-10,80,no
84,-10,-20,no
85,50,-40,no
86,-30,170,no
87,-10,-10,no
88,0,160,no
89,40,-160,no
90,10,180,no
91,-36,-180,no
92,-10,160,no
93,50,-170,no
94,-60,10,no
95,0,50,no
96,70,40,no
97,-60,30,no
98,40,130,no
99,-30,-50,no
100,30,-20,no
101,60,-30,no
102,0,-110,no
103,70,-90,no
104,60,20,no
105,10,-20,no
106,-60,160,no
107,80,-10,no
108,-69,-180,no
109,-60,-180,no
110,-10,140,no
111,-30,-150,no
112,-22,-180,no
113,-18,-180,no
114,-13,-180,no
115,20,40,no
116,-72,-180,no
117,-71,-180,no
118,-50,70,no
119,0,-170,no
120,30,-140,no
121,-54,-180,no
122,20,90,no
123,80,0,no
124,-40,90,no
125,-50,-150,no
126,-60,0,no
127,80,-140,no
128,-50,40,no
129,-70,170,no
130,-42,-180,no
131,-50,-110,no
132,60,-20,no
133,-29,-180,no
134,-20,-140,no
135,-60,60,no
136,-10,-130,no
137,-20,100,no
138,-60,-30,no
139,-34,-180,no
140,-30,110,no
141,-31,-180,no
142,20,-30,no
143,-30,180,no
144,-30,40,no
145,-10,70,no
146,-60,-170,no
147,-30,-20,no
148,70,-10,no
149,-60,-40,no
150,-38,-180,no
151,-56,-180,no
152,-20,-20,no
153,0,0,no
154,20,160,no
155,-60,-100,no
156,-45,-180,no
157,-20,-90,no
158,-40,120,no
159,-40,-110,no
160,-30,0,no
161,20,110,no
162,-74,-180,no
163,-70,-90,no
164,-40,-120,no
165,-60,120,no
166,-50,-120,no
167,70,180,no
168,-20,-10,no
169,-64,-180,no
170,10,110,no
171,-10,-140,no
172,-70,-150,no
173,80,40,no
174,0,-120,no
175,-60,-130,no
176,20,-40,no
177,-60,-120,no
178,-60,-20,no
179,20,-80,no
180,60,180,no
181,-60,-70,no
182,-10,-120,no
183,-40,20,no
184,-40,160,no
185,-40,50,no
186,10,-170,no
187,-20,170,no
188,-40,180,no
189,-55,-180,no
190,-40,10,no
191,10,-30,no
192,20,-50,no
193,-50,0,no
194,-50,80,no
195,10,120,no
196,20,180,no
197,-70,180,no
198,-60,90,no
199,-20,80,no
200,30,50,no
201,-50,-140,no
202,-40,150,no
203,-20,40,no
204,-70,-10,no
205,-40,130,no
206,80,-160,no
207,60,-90,no
208,-50,150,no
209,80,50,no
210,-70,-60,no
211,-40,80,no
212,-10,100,no
213,-43,-180,no
214,70,20,no
215,-10,180,no
