,month,max_mean,max_std,max_extreme,min_mean,min_std,min_extreme
1,1,-9.282517258064495,3.2774344714231862,-1.08893107950653,-13.154646827956967,3.5549377457665585,-22.041991192373363
2,2,-16.103429588235272,6.504937377293353,0.1589138549981115,-20.15102858823527,6.642123598198274,-36.756337583730954
3,3,-26.079919838709653,5.506959073863647,-12.312522154050535,-30.154174731182774,5.306709404227839,-43.42094824175237
4,4,-31.34727005555553,6.4906096855444355,-15.12074584169444,-35.5203027222222,6.196797854562412,-51.01229735862823
5,5,-31.314503494623633,5.137936159486204,-18.469663095908125,-35.62077387096771,4.730295256164,-47.446512011377706
6,6,-32.84833577777776,7.005915572505162,-15.333546846514857,-37.35822066666664,6.215145838698223,-52.896085263412196
7,7,-35.19608959770113,5.930451948309059,-20.369959726928485,-39.91804994252871,5.558622732356975,-53.81460677342115
8,8,-36.97103212903223,7.36991856071579,-18.546235727242756,-41.75366929032256,6.236865628529287,-57.34583336164578
9,9,-33.98319799999997,5.513211468828809,-20.200169327927952,-38.41586859999997,5.2324674454174165,-51.49703721354351
10,10,-28.191034774193525,6.638550512510814,-11.59465849291649,-32.906950903225784,6.594179907025684,-49.392400670789996
11,11,-16.05241299999998,5.197154972112015,-3.0595255697199413,-20.53190393333331,5.656526030471932,-34.67321900951314
12,12,-8.411748193548364,3.0015327179473497,-0.9079163986799905,-11.955834774193526,3.4368143511018157,-20.547870651948067
