,month,max_mean,max_std,max_extreme,min_mean,min_std,min_extreme
1,1,-30.36560591397847,3.2050288091764987,-22.353033891037224,-35.05913908602148,3.3856513840242983,-43.523267546082224
2,2,-38.37785594117645,4.60055182607999,-26.876476375976473,-43.215814823529385,4.71590470457044,-55.005576584955485
3,3,-47.77275241935482,5.070835835915134,-35.09566282956699,-51.83892983870965,4.7263409825770655,-63.654782295152316
4,4,-52.68469938888886,4.694879565428533,-40.947500475317526,-56.31986577777774,4.499942333749066,-67.5697216121504
5,5,-53.349783709677396,5.559867659617079,-39.4501145606347,-57.2028910752688,5.194971243313893,-70.19031918355354
6,6,-53.09048594444442,4.91328623972979,-40.807270345119946,-56.83103499999997,4.62759488818137,-68.4000222204534
7,7,-54.608576091954006,5.232990952637045,-41.526098710361396,-59.065499999999986,4.692550876758571,-70.79687719189641
8,8,-54.91764825806449,5.667671833641981,-40.748468673959536,-59.14589064516128,5.1558272824936715,-72.03545885139546
9,9,-53.80601473333331,6.553825432075561,-37.42145115314441,-58.187532866666636,6.1589357104052604,-73.58487214267979
10,10,-47.60710522580643,4.164963061879412,-37.194697571107895,-52.50742077419352,4.269710390544244,-63.18169675055413
11,11,-37.05097906666665,5.026174055467989,-24.485543927996677,-41.92468399999998,5.3082229342597635,-55.195241335649385
12,12,-29.574595548387077,3.0677040157444244,-21.905335509026017,-33.88816987096772,3.331453372349709,-42.21680330184199
