,date,temp_max,temp_min,latitude,longitude,is_above_max_extreme,is_below_min_extreme,is_heat_wave,is_cold_wave
317,2020-11-13,-14.937399999999968,-18.809969999999964,-69.99999999999946,60.00000000000057,True,False,True,False
318,2020-11-14,-14.757849999999962,-19.13624999999999,-69.99999999999946,60.00000000000057,True,False,True,False
319,2020-11-15,-17.0,-22.342539999999985,-69.99999999999946,60.00000000000057,True,False,True,False
456,2021-04-01,-24.272959999999983,-35.73268999999999,-69.99999999999946,60.00000000000057,True,False,True,False
457,2021-04-02,-24.967179999999985,-29.494249999999965,-69.99999999999946,60.00000000000057,True,False,True,False
1165,2023-03-11,-21.036429999999967,-27.62576999999999,-69.99999999999946,60.00000000000057,True,False,True,False
1166,2023-03-12,-18.217869999999976,-27.288429999999977,-69.99999999999946,60.00000000000057,True,False,True,False
1167,2023-03-13,-18.366659999999968,-23.419069999999977,-69.99999999999946,60.00000000000057,True,False,True,False
1610,2024-05-29,-26.297829999999976,-31.289819999999963,-69.99999999999946,60.00000000000057,True,False,True,False
1611,2024-05-30,-23.681339999999977,-26.555579999999964,-69.99999999999946,60.00000000000057,True,False,True,False
1612,2024-05-31,-23.102499999999964,-26.971299999999985,-69.99999999999946,60.00000000000057,True,False,True,False
1676,2024-08-03,-23.75816999999998,-36.202019999999976,-69.99999999999946,60.00000000000057,True,False,True,False
1677,2024-08-04,-18.91970999999998,-23.432799999999983,-69.99999999999946,60.00000000000057,True,False,True,False
1678,2024-08-05,-19.23037999999997,-25.26730999999998,-69.99999999999946,60.00000000000057,True,False,True,False
1679,2024-08-06,-25.171159999999983,-28.17605999999998,-69.99999999999946,60.00000000000057,True,False,True,False
1700,2024-08-27,-25.01789999999997,-38.025259999999975,-69.99999999999946,60.00000000000057,True,False,True,False
1701,2024-08-28,-25.127449999999985,-36.636919999999975,-69.99999999999946,60.00000000000057,True,False,True,False
