,date,temp_max,temp_min,latitude,longitude,is_above_max_extreme,is_below_min_extreme,is_heat_wave,is_cold_wave
58,2020-02-28,-43.50673999999998,-47.044419999999974,-86.9999999999985,-179.90000000000595,False,True,False,True
59,2020-02-29,-43.54858999999999,-47.44409999999996,-86.9999999999985,-179.90000000000595,False,True,False,True
83,2020-03-24,-51.875069999999965,-54.25595999999999,-86.9999999999985,-179.90000000000595,False,True,False,True
84,2020-03-25,-53.177509999999984,-54.19336999999999,-86.9999999999985,-179.90000000000595,False,True,False,True
85,2020-03-26,-49.60252999999997,-54.93937999999997,-86.9999999999985,-179.90000000000595,False,True,False,True
182,2020-07-01,-29.563799999999983,-37.08849999999998,-86.9999999999985,-179.90000000000595,True,False,True,False
183,2020-07-02,-29.212619999999987,-36.58522999999997,-86.9999999999985,-179.90000000000595,True,False,True,False
475,2021-04-20,-53.773199999999974,-57.372499999999974,-86.9999999999985,-179.90000000000595,False,True,False,True
476,2021-04-21,-55.152169999999984,-57.93475999999998,-86.9999999999985,-179.90000000000595,False,True,False,True
478,2021-04-23,-54.441779999999966,-57.91432999999998,-86.9999999999985,-179.90000000000595,False,True,False,True
479,2021-04-24,-50.376209999999986,-57.570989999999966,-86.9999999999985,-179.90000000000595,False,True,False,True
1277,2023-07-01,-56.27496999999997,-61.44467999999998,-86.9999999999985,-179.90000000000595,False,True,False,True
1278,2023-07-02,-58.978699999999975,-61.61045999999999,-86.9999999999985,-179.90000000000595,False,True,False,True
