,date,temp_max,temp_min,latitude,longitude,is_above_max_extreme,is_below_min_extreme,is_heat_wave,is_cold_wave
59,2020-02-29,27.479900000000043,14.355430000000013,20.000000000000853,-90.0000000000071,False,True,False,True
60,2020-03-01,31.241660000000024,16.717520000000036,20.000000000000853,-90.0000000000071,False,True,False,True
360,2020-12-26,23.64718000000005,13.88480000000004,20.000000000000853,-90.0000000000071,False,True,False,True
361,2020-12-27,25.937520000000006,14.623320000000035,20.000000000000853,-90.0000000000071,False,True,False,True
399,2021-02-03,25.344570000000033,12.698050000000023,20.000000000000853,-90.0000000000071,False,True,False,True
400,2021-02-04,28.61044000000004,14.690330000000015,20.000000000000853,-90.0000000000071,False,True,False,True
815,2022-03-26,28.670740000000023,16.250879999999995,20.000000000000853,-90.0000000000071,False,True,False,True
816,2022-03-27,31.8082,17.045680000000004,20.000000000000853,-90.0000000000071,False,True,False,True
1002,2022-09-29,28.45840000000004,21.382100000000037,20.000000000000853,-90.0000000000071,False,True,False,True
1003,2022-09-30,28.130460000000028,20.297330000000045,20.000000000000853,-90.0000000000071,False,True,False,True
1025,2022-10-22,28.035799999999995,19.310720000000003,20.000000000000853,-90.0000000000071,False,True,False,True
1026,2022-10-23,29.33865000000003,18.32930000000005,20.000000000000853,-90.0000000000071,False,True,False,True
1289,2023-07-13,38.48403000000002,26.366270000000043,20.000000000000853,-90.0000000000071,True,False,True,False
1290,2023-07-14,38.137400000000014,25.87545,20.000000000000853,-90.0000000000071,True,False,True,False
1925,2025-04-09,30.401850000000024,18.266050000000007,20.000000000000853,-90.0000000000071,False,True,False,True
1926,2025-04-10,32.22300000000001,17.091800000000035,20.000000000000853,-90.0000000000071,False,True,False,True
1927,2025-04-11,32.43917000000005,19.10745000000003,20.000000000000853,-90.0000000000071,False,True,False,True
1928,2025-04-12,32.488500000000045,17.470500000000015,20.000000000000853,-90.0000000000071,False,True,False,True
1929,2025-04-13,33.388570000000016,19.37954000000002,20.000000000000853,-90.0000000000071,False,True,False,True
