,date,temp_max,temp_min,latitude,longitude,is_above_max_extreme,is_below_min_extreme,is_heat_wave,is_cold_wave
295,2020-10-22,-1.3748499999999808,-7.797339999999963,60.00000000000142,50.000000000000455,False,True,False,True
296,2020-10-23,-1.7127999999999588,-11.345249999999965,60.00000000000142,50.000000000000455,False,True,False,True
418,2021-02-22,-30.206549999999964,-34.73814999999999,60.00000000000142,50.000000000000455,False,True,False,True
419,2021-02-23,-26.306189999999987,-35.20002999999997,60.00000000000142,50.000000000000455,False,True,False,True
420,2021-02-24,-19.11117999999999,-33.04927999999998,60.00000000000142,50.000000000000455,False,True,False,True
433,2021-03-09,-16.373329999999953,-25.594989999999967,60.00000000000142,50.000000000000455,False,True,False,True
434,2021-03-10,-17.682619999999986,-27.622029999999967,60.00000000000142,50.000000000000455,False,True,False,True
797,2022-03-08,-16.09072999999995,-25.172799999999967,60.00000000000142,50.000000000000455,False,True,False,True
798,2022-03-09,-14.320959999999957,-25.68519999999998,60.00000000000142,50.000000000000455,False,True,False,True
799,2022-03-10,-10.675399999999968,-24.304359999999978,60.00000000000142,50.000000000000455,False,True,False,True
1103,2023-01-08,-26.11729999999997,-35.273289999999974,60.00000000000142,50.000000000000455,False,True,False,True
1104,2023-01-09,-30.626029999999982,-37.08694999999997,60.00000000000142,50.000000000000455,False,True,False,True
1105,2023-01-10,-23.428049999999985,-33.98925999999997,60.00000000000142,50.000000000000455,False,True,False,True
1435,2023-12-06,-26.29246999999998,-31.93325999999999,60.00000000000142,50.000000000000455,False,True,False,True
1436,2023-12-07,-29.442019999999985,-35.55720999999997,60.00000000000142,50.000000000000455,False,True,False,True
1437,2023-12-08,-32.30309999999997,-38.77742999999998,60.00000000000142,50.000000000000455,False,True,False,True
1438,2023-12-09,-26.706519999999983,-34.50499999999997,60.00000000000142,50.000000000000455,False,True,False,True
1439,2023-12-10,-24.495059999999967,-32.752969999999976,60.00000000000142,50.000000000000455,False,True,False,True
1462,2024-01-02,-31.750659999999986,-34.197179999999975,60.00000000000142,50.000000000000455,False,True,False,True
1463,2024-01-03,-29.199679999999972,-34.57902999999999,60.00000000000142,50.000000000000455,False,True,False,True
