,latitude,longitude,temp_data_present
0,-40.0,100.0,no
1,-30.0,160.0,no
2,50.0,-10.0,no
3,40.0,-50.0,no
4,-40.0,-20.0,no
5,-10.0,-80.0,no
6,10.0,160.0,no
7,-60.0,-10.0,no
8,-10.0,60.0,no
9,20.0,70.0,no
10,-20.0,-40.0,no
11,80.0,80.0,no
12,80.0,60.0,no
13,-70.0,-130.0,no
14,-50.0,-30.0,no
15,-50.0,100.0,no
16,20.0,-20.0,no
17,-61.0,-180.0,no
18,-40.0,70.0,no
19,0.0,0.0,no
20,30.0,170.0,no
21,30.0,-120.0,no
22,-50.0,120.0,no
23,-50.0,-40.0,no
24,-27.0,-180.0,no
25,10.0,-80.0,no
26,10.0,-40.0,no
27,70.0,-170.0,no
28,-16.0,-180.0,no
29,-21.0,-180.0,no
30,80.0,150.0,no
31,-30.0,-160.0,no
32,40.0,-70.0,no
33,-30.0,-80.0,no
34,40.0,150.0,no
35,50.0,-30.0,no
36,-20.0,90.0,no
37,-70.0,-180.0,no
38,80.0,-70.0,no
39,-40.0,170.0,no
40,80.0,-110.0,no
41,80.0,90.0,no
42,-32.0,-180.0,no
43,-30.0,50.0,no
44,50.0,-150.0,no
45,-60.0,80.0,no
46,-30.0,80.0,no
47,40.0,180.0,no
48,-60.0,-110.0,no
49,-40.0,-10.0,no
50,80.0,180.0,no
51,40.0,-140.0,no
52,-10.0,40.0,no
53,50.0,-50.0,no
54,80.0,170.0,no
55,70.0,-100.0,no
56,-68.0,-180.0,no
57,10.0,140.0,no
58,-70.0,-120.0,no
59,-73.0,-180.0,no
60,-60.0,-80.0,no
61,10.0,-160.0,no
62,-49.0,-180.0,no
63,10.0,-90.0,no
64,-10.0,-100.0,no
65,-65.0,-180.0,no
66,-40.0,60.0,no
67,30.0,160.0,no
68,-50.0,60.0,no
69,-50.0,160.0,no
70,20.0,-130.0,no
71,-51.0,-180.0,no
72,-30.0,-100.0,no
73,-40.0,-100.0,no
74,-40.0,-60.0,no
75,0.0,-90.0,no
76,-20.0,-30.0,no
77,-30.0,-40.0,no
78,10.0,80.0,no
79,-14.0,-180.0,no
80,-47.0,-180.0,no
81,20.0,-150.0,no
82,70.0,160.0,no
83,-10.0,80.0,no
84,-10.0,-20.0,no
85,50.0,-40.0,no
86,-30.0,170.0,no
87,-10.0,-10.0,no
88,0.0,160.0,no
89,40.0,-160.0,no
90,10.0,180.0,no
91,-36.0,-180.0,no
92,-10.0,160.0,no
93,50.0,-170.0,no
94,-60.0,10.0,no
95,0.0,50.0,no
96,70.0,40.0,no
97,-60.0,30.0,no
98,40.0,130.0,no
99,-30.0,-50.0,no
100,30.0,-20.0,no
101,60.0,-30.0,no
102,0.0,-110.0,no
103,70.0,-90.0,no
104,60.0,20.0,no
105,10.0,-20.0,no
106,-60.0,160.0,no
107,80.0,-10.0,no
108,-69.0,-180.0,no
109,-60.0,-180.0,no
110,-10.0,140.0,no
111,-30.0,-150.0,no
112,-22.0,-180.0,no
113,-18.0,-180.0,no
114,-13.0,-180.0,no
115,20.0,40.0,no
116,-72.0,-180.0,no
117,-71.0,-180.0,no
118,-50.0,70.0,no
119,0.0,-170.0,no
120,30.0,-140.0,no
121,-54.0,-180.0,no
122,20.0,90.0,no
123,80.0,0.0,no
124,-40.0,90.0,no
125,-50.0,-150.0,no
126,-60.0,0.0,no
127,80.0,-140.0,no
128,-50.0,40.0,no
129,-70.0,170.0,no
130,-42.0,-180.0,no
131,-50.0,-110.0,no
132,60.0,-20.0,no
133,-29.0,-180.0,no
134,-20.0,-140.0,no
135,-60.0,60.0,no
136,-10.0,-130.0,no
137,-20.0,100.0,no
138,-60.0,-30.0,no
139,-34.0,-180.0,no
140,-30.0,110.0,no
141,-31.0,-180.0,no
142,20.0,-30.0,no
143,-30.0,180.0,no
144,-30.0,40.0,no
145,-10.0,70.0,no
146,-60.0,-170.0,no
147,-30.0,-20.0,no
148,70.0,-10.0,no
149,-60.0,-40.0,no
150,-38.0,-180.0,no
151,-56.0,-180.0,no
152,-20.0,-20.0,no
153,0.0,0.0,no
154,20.0,160.0,no
155,-60.0,-100.0,no
156,-45.0,-180.0,no
157,-20.0,-90.0,no
158,-40.0,120.0,no
159,-40.0,-110.0,no
160,-30.0,0.0,no
161,20.0,110.0,no
162,-74.0,-180.0,no
163,-70.0,-90.0,no
164,-40.0,-120.0,no
165,-60.0,120.0,no
166,-50.0,-120.0,no
167,70.0,180.0,no
168,-20.0,-10.0,no
169,-64.0,-180.0,no
170,10.0,110.0,no
171,-10.0,-140.0,no
172,-70.0,-150.0,no
173,80.0,40.0,no
174,0.0,-120.0,no
175,-60.0,-130.0,no
176,20.0,-40.0,no
177,-60.0,-120.0,no
178,-60.0,-20.0,no
179,20.0,-80.0,no
180,60.0,180.0,no
181,-60.0,-70.0,no
182,-10.0,-120.0,no
183,-40.0,20.0,no
184,-40.0,160.0,no
185,-40.0,50.0,no
186,10.0,-170.0,no
187,-20.0,170.0,no
188,-40.0,180.0,no
189,-55.0,-180.0,no
190,-40.0,10.0,no
